# temperature	A	A+A	A+A+A	A+A+B	A+A+C	A+B	A+B+B	A+B+C	A+C	A+C+B	A+C+C	B	B+B	B+B+B	B+B+C	B+C	B+C+C	C	C+C	C+C+C
4.000000E+01	1.891142E-21	7.636797E-39	5.805807E-56	1.569579E-31	1.148514E-30	2.311743E-14	7.848475E-24	1.000000E-05	4.329698E-13	1.484683E-24	1.340456E-23	5.145938E-13	1.491686E-22	6.947724E-32	2.504583E-32	3.140769E-23	1.795535E-32	6.252088E-14	1.225693E-23	2.410435E-33
4.200000E+01	2.416821E-20	1.092099E-36	9.360266E-53	7.597544E-30	4.040527E-29	1.015991E-13	8.905512E-23	9.999999E-06	1.301327E-12	1.282710E-23	7.071579E-23	1.404018E-12	9.882797E-22	1.140080E-30	2.778025E-31	1.437409E-22	1.266336E-31	1.176670E-13	3.617273E-23	1.136856E-32
4.400000E+01	2.337636E-19	9.028174E-35	6.659117E-50	2.158999E-28	1.068721E-27	3.438311E-13	7.799088E-22	9.999996E-06	3.846105E-12	1.098782E-22	4.744302E-22	3.814015E-12	6.547467E-21	1.877651E-29	3.978450E-30	8.454671E-22	1.482067E-30	2.835604E-13	1.770357E-22	1.145816E-31
4.600000E+01	1.674587E-18	4.130182E-33	1.957652E-47	3.593683E-27	1.997343E-26	9.129154E-13	5.573899E-21	9.999988E-06	1.073692E-11	9.303586E-22	3.804162E-21	1.070267E-11	4.671222E-20	3.467608E-28	7.750435E-29	6.488284E-21	2.856758E-29	8.562710E-13	1.373542E-21	2.306358E-30
4.800000E+01	1.208815E-17	1.935385E-31	5.987975E-45	6.210952E-26	3.749345E-25	2.475737E-12	4.037012E-20	9.999968E-06	2.958672E-11	7.759072E-21	2.917158E-20	2.958993E-11	3.265319E-19	6.230719E-27	1.430936E-27	4.745107E-20	5.070123E-28	2.481470E-12	9.892690E-21	4.157033E-29
5.000000E+01	8.856994E-17	9.425229E-30	1.947465E-42	1.132165E-24	7.114823E-24	6.909840E-12	2.978032E-19	9.999913E-06	8.043459E-11	6.348027E-20	2.114995E-19	8.039124E-11	2.224844E-18	1.080579E-25	2.464244E-26	3.263578E-19	8.087344E-27	6.828624E-12	6.466062E-20	6.491729E-28
5.200000E+01	6.223599E-16	4.258539E-28	5.680457E-40	1.951886E-23	1.283968E-22	1.882300E-11	2.123922E-18	9.999766E-06	2.148771E-10	5.072142E-19	1.517531E-18	2.148428E-10	1.480253E-17	1.813327E-24	4.168543E-25	2.221287E-18	1.282440E-25	1.875832E-11	4.233799E-19	1.019840E-26
5.400000E+01	4.243241E-15	1.827378E-26	1.539116E-37	3.261774E-22	2.226834E-21	5.065799E-11	1.479160E-17	9.999386E-06	5.636328E-10	3.938912E-18	1.060034E-17	5.636319E-10	9.574331E-17	2.924366E-23	6.791554E-24	1.470485E-17	1.957143E-24	5.066197E-11	2.691463E-18	1.539593E-25
5.600000E+01	2.797854E-14	7.398329E-25	3.835867E-35	5.257220E-21	3.692778E-20	1.343897E-10	1.002107E-16	9.998416E-06	1.449642E-09	2.958188E-17	7.189897E-17	1.449669E-09	6.001770E-16	4.510752E-22	1.061535E-22	9.447463E-17	2.866620E-23	1.344176E-10	1.657630E-17	2.228595E-24
5.800000E+01	1.776577E-13	2.802005E-23	8.681871E-33	8.114834E-20	5.820072E-19	3.502832E-10	6.572934E-16	9.995999E-06	3.650872E-09	2.137806E-16	4.728015E-16	3.651042E-09	3.635427E-15	6.624082E-21	1.587326E-21	5.884384E-16	4.027869E-22	3.504603E-10	9.893775E-17	3.097022E-23
6.000000E+01	1.083795E-12	9.879075E-22	1.771513E-30	1.195068E-18	8.682247E-18	8.956008E-10	4.160785E-15	9.990111E-06	8.991963E-09	1.479387E-15	3.004965E-15	8.993000E-09	2.121300E-14	9.217257E-20	2.260328E-20	3.543222E-15	5.408807E-21	8.966811E-10	5.707434E-16	4.117151E-22
6.200000E+01	6.337094E-12	3.226460E-20	3.234551E-28	1.672212E-17	1.220845E-16	2.242264E-09	2.533333E-14	9.976121E-06	2.163026E-08	9.756608E-15	1.840279E-14	2.163633E-08	1.188646E-13	1.209401E-18	3.050999E-19	2.056808E-14	6.916530E-20	2.248579E-09	3.175093E-15	5.219225E-21
6.400000E+01	3.542485E-11	9.708352E-19	5.241478E-26	2.212010E-16	1.610754E-15	5.484896E-09	1.477633E-13	9.943741E-06	5.073882E-08	6.102643E-14	1.082567E-13	5.077282E-08	6.373774E-13	1.488374E-17	3.884653E-18	1.147697E-13	8.392592E-19	5.520213E-09	1.700349E-14	6.291443E-20
6.600000E+01	1.887307E-10	2.673495E-17	7.462156E-24	2.747139E-15	1.982676E-14	1.306518E-08	8.210982E-13	9.870936E-06	1.158087E-07	3.600303E-13	6.095292E-13	1.159901E-07	3.256324E-12	1.706527E-16	4.638670E-17	6.135555E-13	9.625854E-18	1.325336E-08	8.753120E-14	7.192977E-19
