# temperature	A	A+A	A+A+A	A+A+C	A+A+B	A+C	A+C+C	A+C+B	A+B	A+B+C	A+B+B	C	C+C	C+C+C	C+C+B	C+B	C+B+B	B	B+B	B+B+B
3.600000E+01	2.241871E-23	1.443288E-42	1.717448E-61	9.137752E-33	2.075206E-33	2.364745E-13	6.059304E-24	7.836631E-25	1.876985E-14	4.000000E-04	7.518051E-24	4.364801E-14	8.978481E-24	1.758412E-33	1.803585E-32	2.935558E-23	3.153936E-32	5.334808E-13	2.072953E-22	1.244209E-31
3.800000E+01	1.784013E-22	7.837715E-41	6.429011E-59	1.873706E-31	4.027433E-32	6.788631E-13	4.675368E-23	6.833693E-24	5.382645E-14	4.000000E-04	5.940740E-23	1.283985E-13	6.288379E-23	3.015960E-32	3.230104E-31	2.230652E-22	6.173634E-31	1.572913E-12	1.578770E-21	2.495923E-30
4.000000E+01	1.462150E-21	4.565060E-39	2.683277E-56	4.035875E-30	8.257429E-31	1.967847E-12	3.581395E-22	5.938734E-23	1.573017E-13	4.000000E-04	4.700083E-22	3.675286E-13	4.235590E-22	4.896588E-31	5.460751E-30	1.624906E-21	1.140392E-29	4.528880E-12	1.155394E-20	4.736108E-29
4.200000E+01	2.575237E-20	1.239960E-36	1.132417E-52	2.768878E-28	5.365198E-29	8.369117E-12	2.744921E-21	5.130840E-22	6.733323E-13	4.000000E-04	3.670841E-21	7.101905E-13	1.317716E-21	2.499576E-30	2.869171E-29	5.395947E-21	6.486201E-29	8.732520E-12	3.823084E-20	2.743065E-28
4.400000E+01	2.030542E-19	6.811928E-35	4.364374E-50	5.742347E-27	1.053398E-27	2.379092E-11	2.089861E-20	4.395129E-21	1.931303E-12	4.000000E-04	2.832821E-20	2.019299E-12	8.977818E-21	4.137897E-29	4.860131E-28	3.893335E-20	1.184702E-27	2.466337E-11	2.737874E-19	5.077210E-27
4.600000E+01	1.555266E-18	3.562568E-33	1.568290E-47	1.150598E-25	1.999035E-26	6.659683E-11	1.575832E-19	3.721438E-20	5.467818E-12	3.999999E-04	2.152926E-19	5.718579E-12	6.126266E-20	6.870009E-28	8.217008E-27	2.794430E-19	2.152663E-26	6.902059E-11	1.942690E-18	9.300142E-26
4.800000E+01	1.210346E-17	1.940292E-31	6.010761E-45	2.374430E-24	3.937902E-25	1.871333E-10	1.165516E-18	3.103637E-19	1.567694E-11	3.999998E-04	1.616680E-18	1.567521E-11	3.947508E-19	1.047843E-26	1.279482E-25	1.895646E-18	3.615252E-25	1.871333E-10	1.305989E-17	1.576011E-24
5.000000E+01	8.535900E-17	8.754228E-30	1.743246E-42	4.329709E-23	6.661424E-24	5.078957E-10	8.750033E-18	2.539229E-18	4.218543E-11	3.999994E-04	1.151743E-17	4.474061E-11	2.775730E-18	1.825855E-25	2.199251E-24	1.354548E-17	6.479111E-24	5.092608E-10	8.928175E-17	2.746954E-23
5.200000E+01	6.212166E-16	4.242907E-28	5.649209E-40	8.105031E-22	1.230061E-22	1.358905E-09	6.080429E-17	2.028897E-17	1.188392E-10	3.999985E-04	8.481626E-17	1.188479E-10	1.699516E-17	2.593730E-24	3.256129E-23	8.901675E-17	1.056625E-22	1.358909E-09	5.922089E-16	4.588647E-22
5.400000E+01	4.242071E-15	1.826371E-26	1.537844E-37	1.408001E-20	2.061874E-21	3.564766E-09	4.241396E-16	1.575646E-16	3.203140E-10	3.999961E-04	5.915492E-16	3.205062E-10	1.077202E-16	3.898246E-23	4.954265E-22	5.883868E-16	1.718775E-21	3.564867E-09	3.830045E-15	7.399033E-21
5.600000E+01	2.798207E-14	7.400198E-25	3.837320E-35	2.335995E-19	3.325982E-20	9.169057E-09	2.876044E-15	1.183433E-15	8.501098E-10	3.999900E-04	4.009378E-15	8.500905E-10	6.629880E-16	5.637130E-22	7.251739E-21	3.779012E-15	2.685662E-20	9.169020E-09	2.400974E-14	1.141330E-19
5.800000E+01	1.777011E-13	2.803373E-23	8.688232E-33	3.682553E-18	5.135509E-19	2.309464E-08	1.891481E-14	8.554106E-15	2.216241E-09	3.999747E-04	2.630563E-14	2.216396E-09	3.957119E-15	7.833755E-21	1.019023E-19	2.353972E-14	4.016596E-19	2.309450E-08	1.454584E-13	1.676490E-18
6.000000E+01	1.084393E-12	9.889994E-22	1.774451E-30	5.496804E-17	7.569301E-18	5.689744E-08	1.202475E-13	5.922477E-14	5.669410E-09	3.999374E-04	1.666411E-13	5.670696E-09	2.282641E-14	1.041338E-19	1.368616E-18	1.417687E-13	5.721853E-18	5.689683E-08	8.491201E-13	2.334276E-17
