# temperature	A	A+A	A+A+A	A+A+B	A+A+C	A+B	A+B+B	A+B+C	A+C	A+C+B	A+C+C	B	B+B	B+B+B	B+B+C	B+C	B+C+C	C	C+C	C+C+C
0.000000E+00	9.999628E-47	2.311570E-86	4.099544E-126	1.130072E-70	1.557494E-64	1.478307E-30	1.254322E-46	5.000000E-06	1.088008E-23	7.329525E-43	1.089404E-34	8.377882E-21	4.410398E-36	2.671321E-51	6.353898E-46	1.339008E-30	6.125161E-38	4.601061E-16	3.436117E-24	6.561117E-33
2.000000E+00	2.468700E-31	9.420477E-56	2.229110E-80	1.298841E-44	1.256414E-44	9.085401E-20	8.003809E-40	5.000000E-06	5.352150E-19	4.764109E-42	4.301576E-40	1.117222E-24	5.468156E-44	3.026931E-63	6.093098E-64	1.230259E-44	3.382107E-62	5.186728E-26	2.545621E-44	3.113092E-63
4.000000E+00	9.751429E-31	9.882622E-55	4.995147E-79	8.205978E-44	7.663129E-44	1.939290E-19	4.028201E-39	5.000000E-06	1.225090E-18	3.203066E-41	2.385699E-39	3.324009E-24	3.388182E-43	3.810885E-62	8.660899E-63	7.421251E-44	3.530176E-61	1.716958E-25	1.607888E-43	3.835184E-62
6.000000E+00	3.930973E-30	1.077768E-53	1.208453E-77	5.259872E-43	4.953314E-43	4.167559E-19	2.109321E-38	5.000000E-06	2.864271E-18	2.221243E-40	1.405292E-38	1.004736E-23	2.183003E-42	5.133613E-61	1.314844E-61	4.645905E-43	3.814137E-60	5.759241E-25	1.031620E-42	5.024208E-61
8.000000E+00	1.620038E-29	1.218291E-52	3.208637E-76	3.420872E-42	3.403005E-42	9.009230E-19	1.144081E-37	5.000000E-06	6.838144E-18	1.584676E-39	8.765833E-38	3.079354E-23	1.460234E-41	7.473324E-60	2.138925E-60	3.037983E-42	4.328154E-59	1.958951E-24	6.746251E-42	6.998105E-60
1.000000E+01	6.832687E-29	1.423110E-51	9.481289E-75	2.259975E-41	2.486980E-41	1.958628E-18	6.404906E-37	5.000000E-06	1.663536E-17	1.160435E-38	5.753591E-37	9.555287E-23	1.013234E-40	1.180124E-58	3.735176E-59	2.087918E-41	5.245603E-58	6.754886E-24	4.510265E-41	1.034697E-58
1.200000E+01	2.951244E-28	1.714515E-50	3.149106E-73	1.520439E-40	1.932830E-40	4.283058E-18	3.693112E-36	5.000000E-06	4.110316E-17	8.705672E-38	3.942334E-36	2.999211E-22	7.299102E-40	2.019282E-57	7.005357E-58	1.515046E-40	6.902699E-57	2.358931E-23	3.093194E-40	1.620505E-57
1.400000E+01	1.306366E-27	2.130913E-49	1.182268E-71	1.045975E-39	1.596214E-39	9.423270E-18	2.191237E-35	5.000000E-06	1.027648E-16	6.679650E-37	2.797986E-35	9.518438E-22	5.471012E-39	3.733516E-56	1.410425E-56	1.163105E-39	9.992503E-56	8.332263E-23	2.186258E-39	2.685426E-56
1.600000E+01	5.929710E-27	2.740975E-48	5.029229E-70	7.399607E-39	1.398577E-38	2.085824E-17	1.337535E-34	5.000000E-06	2.589843E-16	5.233551E-36	2.043209E-34	3.054763E-21	4.279551E-38	7.444357E-55	3.046088E-55	9.445399E-39	1.604166E-54	2.973538E-22	1.602788E-38	4.714236E-55
1.800000E+01	9.109828E-31	4.001161E-56	8.720991E-82	7.920287E-42	3.186741E-47	2.055791E-16	4.991049E-28	5.000000E-06	4.884063E-21	4.180819E-35	2.569902E-39	1.331325E-15	6.309434E-27	3.866197E-38	2.868064E-44	2.455114E-33	1.960822E-49	2.419374E-22	6.263956E-39	1.013764E-55
2.000000E+01	1.500985E-32	6.738639E-60	1.965729E-87	3.842798E-48	2.011706E-46	8.454845E-21	3.159729E-34	5.000000E-06	2.320740E-18	3.399818E-34	1.997765E-31	2.334197E-17	1.538398E-30	1.355458E-43	1.098445E-42	6.429557E-30	6.136545E-41	4.782615E-17	1.494374E-28	3.256684E-40
2.200000E+01	4.578423E-28	3.973366E-51	2.972045E-74	3.440034E-40	4.457404E-41	3.390788E-17	1.074123E-30	5.000000E-06	2.045892E-17	2.809577E-33	3.021376E-33	2.231252E-17	1.137366E-30	7.955521E-44	1.338870E-45	9.790167E-33	1.212901E-46	9.814886E-20	3.996571E-34	1.229625E-48
2.400000E+01	3.079120E-33	1.187186E-61	5.102510E-90	1.869533E-49	1.781352E-47	3.639629E-21	1.238401E-32	5.000000E-06	1.449938E-18	2.355157E-32	1.402106E-29	2.678403E-15	1.348991E-26	9.513827E-38	9.990547E-37	7.237296E-26	4.592763E-35	7.606322E-15	1.589149E-24	2.647500E-34
2.600000E+01	9.798248E-33	8.399387E-61	9.823073E-89	1.431511E-48	5.460686E-47	1.128562E-20	2.618691E-31	5.000000E-06	1.643792E-18	1.998633E-31	3.676201E-29	2.025043E-14	6.437049E-25	2.913045E-35	1.058538E-34	1.201040E-24	1.420836E-33	2.058780E-14	8.027086E-24	2.586822E-33
2.800000E+01	1.372630E-30	1.221340E-56	1.700541E-82	7.108134E-46	2.239910E-43	5.015111E-20	2.670570E-31	5.000000E-06	5.606227E-17	1.713415E-30	2.060864E-27	5.116423E-15	3.468879E-26	3.398720E-37	8.994962E-36	4.762468E-25	7.658013E-34	3.915196E-14	2.077143E-23	9.359993E-33
3.000000E+01	3.039541E-28	4.666679E-52	1.217229E-75	6.308524E-42	2.058249E-40	2.465644E-18	2.163960E-29	5.000000E-06	2.686245E-16	1.480630E-29	1.491128E-27	9.226643E-15	9.609390E-26	1.468044E-36	3.607081E-36	1.242739E-25	2.547292E-35	6.761503E-15	4.579188E-25	2.703073E-35
3.200000E+01	7.819295E-26	2.498798E-47	1.419492E-68	5.445178E-38	3.085298E-37	9.988656E-17	1.043283E-27	5.000000E-06	1.792421E-15	1.286760E-28	1.848536E-27	1.194654E-14	1.382691E-25	2.385069E-36	9.238890E-37	2.869812E-26	9.371260E-37	1.420395E-15	1.536099E-26	1.488948E-37
3.400000E+01	1.179564E-25	4.723119E-47	3.445437E-68	5.860602E-38	7.566163E-37	8.508757E-17	3.831826E-27	5.000000E-06	3.308101E-15	1.122079E-27	3.047462E-26	5.573696E-14	2.600915E-24	1.840305E-34	1.486568E-34	1.148643E-24	2.905085E-34	1.418696E-14	1.193204E-24	9.269363E-35
3.600000E+01	2.643132E-24	2.006178E-44	2.814545E-64	2.782257E-36	1.396169E-34	2.134463E-16	8.246177E-27	5.000000E-06	3.064607E-14	9.795789E-27	8.631680E-25	5.145628E-14	1.928540E-24	1.116483E-34	3.225331E-34	3.112379E-24	2.101941E-33	4.797850E-14	1.084844E-23	2.335432E-33
