# temperature	A	A+A	A+A+A	A+A+B	A+A+C	A+B	A+B+B	A+B+C	A+C	A+C+B	A+C+C	B	B+B	B+B+B	B+B+C	B+C	B+C+C	C	C+C	C+C+C
0.000000E+00	2.952959E-31	2.015831E-55	1.055738E-79	2.086912E-43	2.171945E-43	9.244620E-19	1.661057E-38	5.000000E-04	5.137847E-18	7.329525E-41	8.226473E-39	1.774129E-24	1.977788E-43	2.536758E-62	4.556356E-63	4.534295E-44	3.316802E-61	7.357555E-26	8.786562E-44	2.682899E-62
2.000000E+00	1.145869E-30	2.029580E-54	2.229110E-78	1.298841E-42	1.256414E-42	1.957390E-18	8.003809E-38	5.000000E-04	1.153086E-17	4.764109E-40	4.301576E-38	5.185685E-24	1.178078E-42	3.026931E-61	6.093098E-62	2.650513E-43	3.382107E-60	2.407466E-25	5.484375E-43	3.113092E-61
4.000000E+00	4.526212E-30	2.129146E-53	4.995147E-77	8.205978E-42	7.663129E-42	4.178074E-18	4.028201E-37	5.000000E-04	2.639377E-17	3.203066E-39	2.385699E-37	1.542868E-23	7.299617E-42	3.810885E-60	8.660899E-61	1.598860E-42	3.530176E-59	7.969415E-25	3.464089E-42	3.835184E-60
6.000000E+00	1.824596E-29	2.321980E-52	1.208453E-75	5.259872E-41	4.953314E-41	8.978734E-18	2.109321E-36	5.000000E-04	6.170884E-17	2.221243E-38	1.405292E-36	4.663572E-23	4.703138E-41	5.133613E-59	1.314844E-59	1.000930E-41	3.814137E-58	2.673203E-24	2.222557E-41	5.024208E-59
8.000000E+00	1.267091E-44	7.452742E-83	1.535212E-121	1.581514E-63	3.521876E-64	5.325267E-25	5.110713E-35	5.000000E-04	9.048302E-25	1.584676E-37	1.962314E-36	2.327184E-14	8.339977E-24	3.225724E-33	2.066732E-34	3.884211E-25	9.361953E-34	3.314132E-16	1.930879E-25	3.388593E-35
1.000000E+01	2.118538E-30	1.368133E-54	2.826193E-79	1.756982E-40	9.535492E-45	4.911008E-16	1.298690E-30	5.000000E-04	2.057113E-19	1.160435E-36	2.837568E-39	7.727121E-19	6.626097E-33	6.240934E-47	9.741822E-52	6.733930E-38	6.747329E-55	2.694011E-24	7.174052E-42	6.563821E-60
1.200000E+01	2.883264E-46	1.636440E-86	2.936469E-127	5.080146E-67	5.394171E-66	1.464811E-26	4.421489E-35	5.000000E-04	1.174159E-24	8.705672E-36	3.292891E-33	1.049918E-12	8.944707E-21	8.662475E-29	2.510147E-28	1.550767E-20	2.065912E-26	6.897435E-13	2.644549E-19	4.051046E-26
1.400000E+01	9.111342E-34	1.036575E-61	4.011144E-90	2.043241E-50	2.772332E-45	2.639262E-22	2.464527E-38	5.000000E-04	2.559063E-16	6.679650E-35	2.487719E-28	3.822338E-20	8.822558E-36	2.417732E-51	8.120749E-47	1.667637E-31	5.115357E-41	2.974967E-16	2.787018E-26	1.222280E-36
1.600000E+01	9.446914E-41	6.956935E-76	2.033625E-111	1.527381E-58	2.739788E-58	2.702464E-23	1.409331E-32	5.000000E-04	3.184547E-22	5.233551E-34	1.939121E-32	2.484296E-13	2.830412E-22	4.004096E-31	1.554933E-31	5.928760E-23	7.771604E-31	2.295045E-14	9.547985E-23	2.167528E-31
1.800000E+01	9.658251E-33	4.497412E-60	1.039276E-87	3.987864E-44	7.542450E-49	9.763149E-17	1.061758E-26	5.000000E-04	1.090332E-20	4.180819E-33	1.208044E-36	5.963575E-14	1.266006E-23	3.474978E-33	1.211778E-38	2.315705E-29	3.894384E-43	5.094388E-20	2.777325E-34	9.464630E-49
2.000000E+01	6.353280E-32	1.207300E-58	1.490693E-85	4.331012E-43	1.353591E-47	2.251261E-16	5.292595E-26	5.000000E-04	3.689163E-20	3.399818E-32	1.192685E-35	1.468372E-13	6.087878E-23	3.374287E-32	1.632508E-37	1.519006E-28	5.444802E-42	1.796161E-19	2.107748E-33	1.725103E-47
2.200000E+01	4.288838E-31	3.486631E-57	2.443017E-83	4.252965E-44	2.963630E-44	4.475134E-18	1.997289E-29	5.000000E-04	1.452115E-17	2.809577E-31	1.624867E-30	3.143621E-15	2.257686E-26	2.224916E-37	2.013707E-38	1.045121E-27	9.810619E-39	7.436694E-17	2.294441E-28	5.348804E-40
2.400000E+01	4.376549E-33	2.398440E-61	1.465208E-89	1.498969E-47	6.379780E-47	2.053107E-19	2.772459E-29	5.000000E-04	3.653424E-18	2.355157E-30	6.262921E-29	1.062980E-13	2.124749E-23	5.947072E-33	2.789545E-33	5.091798E-24	5.728150E-33	1.348405E-14	4.994083E-24	1.474934E-33
2.600000E+01	8.923436E-26	6.966505E-47	7.419906E-68	5.884584E-36	1.003407E-36	5.094046E-15	5.858348E-27	5.000000E-04	3.316601E-15	1.998633E-29	1.643267E-29	1.003663E-15	1.581227E-27	3.546567E-39	5.760716E-41	1.318784E-29	3.456393E-42	4.561131E-18	3.939882E-31	2.812902E-44
2.800000E+01	1.016159E-23	6.693500E-43	6.899416E-62	4.099474E-33	1.575735E-33	3.907011E-14	2.189393E-26	5.000000E-04	5.327395E-14	1.713415E-28	2.513793E-28	5.384213E-16	3.841498E-28	3.960796E-40	1.278635E-41	6.433150E-30	1.327833E-42	5.025618E-18	3.422458E-31	1.979626E-44
3.000000E+01	3.059614E-26	4.728519E-48	1.241504E-69	5.489871E-37	2.412345E-37	2.131602E-15	1.606727E-25	5.000000E-04	3.127725E-15	1.480630E-27	2.008270E-27	7.924299E-14	7.088103E-24	9.300158E-34	3.077616E-35	1.234586E-25	2.927146E-36	7.821094E-16	6.126846E-27	4.183410E-38
3.200000E+01	8.282688E-26	2.803746E-47	1.687113E-68	6.015628E-37	3.319246E-36	1.041771E-15	1.071343E-25	5.000000E-04	1.820449E-14	1.286760E-26	1.800120E-25	1.176260E-13	1.340441E-23	2.276591E-33	8.587712E-34	2.709254E-24	8.482602E-34	1.361896E-14	1.412176E-24	1.312454E-34
3.400000E+01	1.566036E-24	8.325098E-45	8.062784E-65	1.198589E-34	8.657416E-35	1.310732E-14	6.848908E-24	5.000000E-04	2.851091E-14	1.122079E-25	1.704994E-25	6.467121E-13	3.501560E-22	2.874703E-31	1.299189E-32	8.651768E-24	1.420466E-33	9.209616E-15	5.028271E-25	2.535748E-35
3.600000E+01	6.144310E-24	1.084122E-43	3.535664E-63	6.616071E-34	7.375611E-34	2.183420E-14	3.711893E-23	5.000000E-04	6.964348E-14	9.795789E-25	1.917576E-24	2.264293E-12	3.734368E-21	9.513379E-30	6.105403E-31	1.338870E-22	8.839297E-32	4.690273E-14	1.036741E-23	2.181833E-33
