# concentration (uM) 	 Tm (C)
1.000000E+00	7.331087E+01
2.000000E+00	7.431844E+01
5.000000E+00	7.561376E+01
1.000000E+01	7.665438E+01
2.000000E+01	7.770340E+01
5.000000E+01	7.914472E+01
1.000000E+02	8.029899E+01
2.000000E+02	8.143756E+01
5.000000E+02	8.298629E+01
6.000000E+02	8.327796E+01
8.000000E+02	8.373217E+01
1.000000E+03	8.408431E+01
1.500000E+03	8.468910E+01
