# temperature	A	A+A	A+A+A	A+A+B	A+A+C	A+B	A+B+B	A+B+C	A+C	A+C+B	A+C+C	B	B+B	B+B+B	B+B+C	B+C	B+C+C	C	C+C	C+C+C
0.000000E+00	3.277668E-24	2.927858E-42	1.476449E-61	2.188283E-46	1.700898E-37	2.210992E-27	5.799970E-47	5.000000E-06	1.264685E-19	3.815565E-42	6.691038E-29	2.244897E-27	1.475477E-50	1.639015E-73	1.902599E-46	2.652159E-23	1.140998E-34	4.801962E-16	3.676358E-27	4.610338E-39
2.000000E+00	4.603205E-17	4.262879E-28	2.417089E-40	7.188342E-33	1.784071E-29	6.222694E-21	7.310603E-41	5.000000E-06	1.270801E-18	1.912056E-41	7.186666E-34	1.822838E-27	7.691884E-51	5.756590E-74	8.685333E-53	1.753786E-29	1.229085E-46	8.467198E-22	7.851786E-39	1.673812E-56
4.000000E+00	3.332165E-27	1.642191E-48	5.423356E-71	1.037735E-41	5.976012E-51	1.466500E-19	1.250994E-27	5.000000E-06	7.876917E-30	9.737247E-41	5.817701E-46	2.414501E-15	1.079796E-26	8.944754E-38	1.279145E-29	2.266379E-18	3.171541E-36	1.798624E-22	2.479176E-40	1.092239E-58
6.000000E+00	4.179515E-27	1.895436E-48	6.340216E-71	1.119693E-41	1.430698E-50	1.466914E-19	2.212073E-27	5.000000E-06	2.004304E-29	5.059363E-40	4.688008E-45	7.830349E-15	9.198696E-26	2.078780E-36	2.704319E-28	1.702244E-17	1.150033E-34	9.118426E-22	4.555389E-39	9.977444E-57
8.000000E+00	2.759260E-24	6.058180E-43	1.082981E-62	1.240171E-40	5.001476E-43	2.823565E-21	2.724798E-33	5.000000E-06	1.408133E-24	2.693054E-39	5.615498E-38	9.232717E-19	1.049483E-33	2.369535E-48	4.002912E-34	2.444359E-19	4.253133E-34	2.444732E-19	2.400192E-34	1.390137E-49
1.000000E+01	8.404505E-22	4.124637E-38	1.821141E-55	2.355307E-42	1.029714E-33	1.999787E-25	9.724348E-44	5.000000E-06	1.257331E-17	1.474428E-38	2.424173E-26	8.588876E-25	7.557107E-46	1.356047E-66	1.025047E-41	7.645585E-21	9.565905E-31	1.821891E-14	1.005465E-24	4.290871E-35
1.200000E+01	1.498790E-22	9.638131E-40	6.162899E-58	8.289921E-36	2.359122E-42	4.456762E-18	5.785737E-28	5.000000E-06	2.126306E-25	8.334040E-38	6.620358E-41	4.226390E-16	1.544570E-28	1.175719E-40	2.394975E-31	4.098010E-19	1.204971E-35	4.436029E-21	4.641561E-38	4.759412E-55
1.400000E+01	7.177395E-22	1.626079E-38	4.050968E-56	1.887945E-35	1.659870E-40	2.389570E-18	7.316449E-29	5.000000E-06	4.102398E-24	4.878984E-37	9.074971E-39	1.825087E-16	2.466312E-29	7.055211E-42	1.843323E-31	8.190894E-19	2.422187E-34	4.639218E-20	4.087003E-36	4.295621E-52
1.600000E+01	1.509531E-18	5.296080E-32	2.263671E-46	5.374949E-36	8.106719E-30	3.656779E-22	1.696685E-39	5.000000E-06	1.249451E-16	2.965140E-36	7.326194E-27	4.996424E-23	1.604879E-42	1.104184E-61	2.060158E-40	3.725240E-21	3.999919E-32	1.764527E-15	4.916100E-27	1.904873E-38
1.800000E+01	1.955234E-19	6.543517E-34	2.966977E-49	1.679851E-35	8.613110E-33	1.003869E-20	2.043186E-35	5.000000E-06	1.344075E-18	1.872682E-35	1.245070E-29	3.874611E-20	8.489483E-37	4.015645E-53	1.063098E-35	2.743638E-19	6.146172E-31	3.896820E-16	2.050449E-28	1.677159E-40
2.000000E+01	8.418531E-21	8.929124E-37	1.435562E-53	1.034295E-34	1.741481E-37	1.647942E-18	2.649541E-29	5.000000E-06	8.283330E-22	1.228569E-34	2.170674E-34	5.246371E-16	1.385473E-28	7.933559E-41	2.886282E-29	6.050577E-17	4.871844E-30	1.501679E-17	2.661053E-31	7.900903E-45
2.200000E+01	1.079725E-19	1.080019E-34	1.847035E-50	3.032169E-34	1.992688E-34	4.368407E-19	3.035867E-31	5.000000E-06	9.708589E-20	8.356068E-34	4.765214E-31	3.735897E-17	6.319645E-31	2.321494E-44	1.382697E-30	4.450406E-17	8.204523E-29	3.738588E-16	1.462253E-28	1.004354E-40
2.400000E+01	1.065264E-15	7.720363E-27	1.089713E-38	3.360937E-29	2.797480E-27	5.748861E-18	1.133306E-32	5.000000E-06	1.816079E-16	5.872871E-33	3.579993E-28	1.666867E-19	1.142025E-35	1.697661E-51	5.380702E-36	4.220440E-20	3.681770E-32	1.951474E-16	3.559948E-29	1.172431E-41
2.600000E+01	8.753685E-16	3.824353E-27	3.747360E-39	1.576800E-28	5.465791E-28	3.878144E-17	1.363682E-30	5.000000E-06	5.673783E-17	4.247501E-32	9.269180E-29	4.451843E-18	7.451799E-33	2.699136E-47	1.497673E-33	4.758379E-19	3.918999E-31	2.060145E-16	3.556127E-29	1.125746E-41
2.800000E+01	1.365138E-16	6.820554E-29	8.899855E-42	1.816766E-29	3.034388E-29	3.407628E-17	1.500700E-29	5.000000E-06	2.647461E-17	3.146735E-31	2.888977E-28	7.956250E-17	2.191170E-30	1.300689E-43	1.459987E-30	2.795170E-17	1.700315E-28	1.722030E-15	2.228116E-27	5.335346E-39
3.000000E+01	4.490149E-16	5.415672E-28	2.007006E-40	1.710295E-28	1.979042E-28	1.164560E-16	1.209840E-28	5.000000E-06	6.845593E-17	2.377113E-30	1.336390E-27	2.563391E-16	2.104925E-29	3.707874E-42	1.206177E-29	7.687380E-17	9.015760E-28	3.794606E-15	9.698628E-27	4.614445E-38
3.200000E+01	1.270090E-15	3.188677E-27	2.918495E-39	1.401254E-27	9.677278E-28	4.033379E-16	1.185824E-27	5.000000E-06	1.530190E-16	1.823324E-29	5.453137E-27	9.538995E-16	2.709017E-28	1.641876E-40	1.324768E-28	2.424640E-16	5.473567E-27	8.410300E-15	4.271047E-26	4.055776E-37
3.400000E+01	4.921551E-15	3.540791E-26	1.108233E-37	1.435885E-26	1.000934E-26	1.274167E-15	7.158713E-27	5.000000E-06	5.218348E-16	1.414730E-28	3.823867E-26	2.321670E-15	1.496679E-27	2.048203E-39	6.866226E-28	5.499499E-16	2.642967E-26	2.071728E-14	2.325810E-25	4.902188E-36
3.600000E+01	1.113183E-14	1.349970E-25	8.517830E-37	1.032511E-25	3.027747E-26	4.824634E-15	1.075026E-25	5.000000E-06	8.780874E-16	1.106821E-27	1.127677E-25	1.141911E-14	3.386794E-26	2.121235E-37	1.216179E-26	2.103070E-15	1.806327E-25	4.295023E-14	8.991571E-25	3.548012E-35
3.800000E+01	5.937833E-14	2.893490E-24	8.756797E-35	1.610806E-24	5.725013E-25	1.672886E-14	5.784576E-25	5.000000E-06	3.846953E-15	8.707200E-27	9.612699E-25	2.149238E-14	1.125119E-25	1.237558E-36	3.446423E-26	3.352931E-15	5.644148E-25	9.767473E-14	4.197137E-24	3.412465E-34
4.000000E+01	1.239289E-13	9.628652E-24	5.511154E-34	1.156581E-23	1.458060E-24	6.782557E-14	1.093440E-23	5.000000E-06	5.690720E-15	6.871454E-26	2.395251E-24	1.192501E-13	3.255817E-24	1.858785E-34	7.248013E-25	1.342041E-14	3.796118E-24	1.901316E-13	1.441613E-23	2.075683E-33
4.200000E+01	3.983502E-13	7.730915E-23	1.297414E-32	9.390981E-23	1.240562E-23	2.005245E-13	7.160063E-23	4.999999E-06	1.791033E-14	5.428532E-25	1.755886E-23	3.092329E-13	2.062492E-23	2.863444E-33	4.552497E-24	3.423370E-14	2.233902E-23	5.064430E-13	9.316711E-23	3.265304E-32
4.400000E+01	1.020679E-12	4.023006E-22	1.586934E-31	5.679992E-22	7.407869E-23	5.497704E-13	5.066538E-22	4.999998E-06	4.873680E-14	4.285038E-24	1.205682E-22	9.211347E-13	1.727876E-22	6.717563E-32	4.052502E-23	1.074402E-13	1.743868E-22	1.447697E-12	6.970093E-22	6.410752E-31
4.600000E+01	2.751942E-12	2.369006E-21	2.322861E-30	3.732876E-21	4.881095E-22	1.543683E-12	3.574294E-21	4.999996E-06	1.368589E-13	3.373523E-23	8.351736E-22	2.637243E-12	1.340351E-21	1.406040E-30	3.238617E-22	3.140420E-13	1.236321E-21	4.012071E-12	4.926325E-21	1.157939E-29
4.800000E+01	7.655250E-12	1.519216E-20	3.837980E-29	2.536524E-20	3.502981E-21	4.306430E-12	2.409730E-20	4.999988E-06	4.002813E-13	2.644244E-22	6.051804E-21	7.179810E-12	9.424762E-21	2.543320E-29	2.343310E-21	8.712786E-13	8.352499E-21	1.108844E-11	3.479919E-20	2.093480E-28
5.000000E+01	2.086479E-11	9.568914E-20	6.130418E-28	1.696138E-19	2.454889E-20	1.195897E-11	1.639143E-19	4.999966E-06	1.154115E-12	2.059844E-21	4.319915E-20	1.960598E-11	6.685141E-20	4.667798E-28	1.704269E-20	2.414332E-12	5.640317E-20	3.044281E-11	2.436980E-19	3.742071E-27
5.200000E+01	5.635523E-11	6.050520E-19	9.787871E-27	1.129003E-18	1.712455E-19	3.305592E-11	1.110791E-18	4.999907E-06	3.313374E-12	1.591802E-20	3.059504E-19	5.307133E-11	4.673146E-19	8.394045E-27	1.216849E-19	6.601694E-12	3.756455E-19	8.287141E-11	1.685040E-18	6.572544E-26
5.400000E+01	1.506477E-10	3.825015E-18	1.554141E-25	7.459592E-18	1.184251E-18	9.079344E-11	7.475595E-18	4.999749E-06	9.461703E-12	1.217997E-19	2.145305E-18	1.422847E-10	3.214710E-18	1.475991E-25	8.529123E-19	1.782176E-11	2.469054E-18	2.236180E-10	1.149370E-17	1.132778E-24
5.600000E+01	3.980799E-10	2.407068E-17	2.441221E-24	4.878420E-17	8.092067E-18	2.473769E-10	4.980086E-17	4.999328E-06	2.684893E-11	9.209904E-19	1.486666E-17	3.774129E-10	2.172162E-17	2.530880E-24	5.866324E-18	4.751604E-11	1.602291E-17	5.979419E-10	7.727350E-17	1.913387E-23
5.800000E+01	1.039149E-09	1.502781E-16	3.779237E-23	3.153517E-16	5.448824E-17	6.680909E-10	3.277866E-16	4.998217E-06	7.560309E-11	6.867909E-18	1.015092E-16	9.896813E-10	1.439774E-16	4.224088E-23	3.956064E-17	1.250769E-10	1.025125E-16	1.582166E-09	5.105513E-16	3.153713E-22
6.000000E+01	2.676947E-09	9.270049E-16	5.737580E-22	2.010277E-15	3.606226E-16	1.786186E-09	2.126176E-15	4.995326E-06	2.109733E-10	5.039527E-17	6.812673E-16	2.562954E-09	9.344340E-16	6.844060E-22	2.613239E-16	3.249955E-10	6.459070E-16	4.138151E-09	3.307590E-15	5.055862E-21
6.200000E+01	6.797252E-09	5.625964E-15	8.496249E-21	1.260235E-14	2.339690E-15	4.720286E-09	1.355185E-14	4.987900E-06	5.825275E-10	3.629312E-16	4.482457E-15	6.546619E-09	5.924848E-15	1.072975E-20	1.688380E-15	8.331599E-10	4.001328E-15	1.068437E-08	2.095716E-14	7.854414E-20
6.400000E+01	1.698515E-08	3.343172E-14	1.219287E-19	7.739902E-14	1.482960E-14	1.230389E-08	8.455902E-14	4.969123E-06	1.588044E-09	2.556278E-15	2.881330E-14	1.646829E-08	3.659353E-14	1.620626E-19	1.064267E-14	2.104908E-09	2.430307E-14	2.718417E-08	1.294322E-13	1.176672E-18
6.600000E+01	4.167124E-08	1.933509E-13	1.681417E-18	4.629403E-13	9.131813E-14	3.152366E-08	5.135090E-13	4.922544E-06	4.258567E-09	1.750887E-14	1.798918E-13	4.070359E-08	2.191695E-13	2.342601E-18	6.512990E-14	5.226203E-09	1.439305E-13	6.796854E-08	7.750677E-13	1.686666E-17
6.800000E+01	9.997408E-08	1.078363E-12	2.198425E-17	2.667312E-12	5.403846E-13	7.885477E-08	3.002598E-12	4.810008E-06	1.115051E-08	1.153379E-13	1.078087E-12	9.845594E-08	1.262934E-12	3.202733E-17	3.829299E-13	1.266851E-08	8.214993E-13	1.661594E-07	4.455888E-12	2.279573E-16
7.000000E+01	2.327228E-07	5.704664E-12	2.659170E-16	1.447846E-11	3.001815E-12	1.898618E-07	1.653537E-11	4.549296E-06	2.804923E-08	7.136945E-13	6.043729E-12	2.312512E-07	6.893313E-12	4.045722E-16	2.113360E-12	2.951986E-08	4.402997E-12	3.930595E-07	2.409464E-11	2.817155E-15
