# concentration (uM) 	 Tm (C)
3.000000E+00	5.603234E+00
6.000000E+00	5.628611E+00
1.500000E+01	5.703174E+00
3.000000E+01	5.822624E+00
6.000000E+01	6.058134E+00
1.500000E+02	6.765118E+00
3.000000E+02	7.654984E+00
6.000000E+02	9.072716E+00
1.500000E+03	1.184954E+01
1.800000E+03	1.256038E+01
2.400000E+03	1.375598E+01
3.000000E+03	1.478603E+01
4.500000E+03	1.683900E+01
