# temperature	SE	SE+SE
0.000000E+00	4.869819E-05	8.756509E-04
2.000000E+00	5.895997E-05	8.705200E-04
4.000000E+00	7.111091E-05	8.644445E-04
6.000000E+00	8.543353E-05	8.572832E-04
8.000000E+00	1.022363E-04	8.488818E-04
1.000000E+01	1.218516E-04	8.390742E-04
1.200000E+01	1.446315E-04	8.276842E-04
1.400000E+01	1.709419E-04	8.145291E-04
1.600000E+01	2.011532E-04	7.994234E-04
1.800000E+01	2.356286E-04	7.821857E-04
2.000000E+01	2.747083E-04	7.626459E-04
2.200000E+01	3.186900E-04	7.406550E-04
2.400000E+01	3.678058E-04	7.160971E-04
2.600000E+01	4.221953E-04	6.889023E-04
2.800000E+01	4.818766E-04	6.590617E-04
3.000000E+01	5.467165E-04	6.266417E-04
3.200000E+01	6.164029E-04	5.917985E-04
3.400000E+01	6.904223E-04	5.547889E-04
3.600000E+01	7.680476E-04	5.159762E-04
3.800000E+01	8.483408E-04	4.758296E-04
4.000000E+01	9.301742E-04	4.349129E-04
4.200000E+01	1.012274E-03	3.938629E-04
4.400000E+01	1.093287E-03	3.533566E-04
4.600000E+01	1.171860E-03	3.140700E-04
4.800000E+01	1.246736E-03	2.766322E-04
5.000000E+01	1.316837E-03	2.415816E-04
5.200000E+01	1.381338E-03	2.093310E-04
5.400000E+01	1.439707E-03	1.801467E-04
5.600000E+01	1.491711E-03	1.541445E-04
5.800000E+01	1.537395E-03	1.313025E-04
6.000000E+01	1.577030E-03	1.114850E-04
6.200000E+01	1.611053E-03	9.447347E-05
6.400000E+01	1.640003E-03	7.999834E-05
6.600000E+01	1.664466E-03	6.776688E-05
6.800000E+01	1.685029E-03	5.748546E-05
7.000000E+01	1.702250E-03	4.887502E-05
7.200000E+01	1.716639E-03	4.168063E-05
7.400000E+01	1.728648E-03	3.567608E-05
7.600000E+01	1.738670E-03	3.066501E-05
7.800000E+01	1.747040E-03	2.647983E-05
8.000000E+01	1.754042E-03	2.297923E-05
8.200000E+01	1.759910E-03	2.004520E-05
8.400000E+01	1.764840E-03	1.757979E-05
8.600000E+01	1.768996E-03	1.550212E-05
8.800000E+01	1.772509E-03	1.374559E-05
9.000000E+01	1.775489E-03	1.225544E-05
9.200000E+01	1.778027E-03	1.098672E-05
9.400000E+01	1.780195E-03	9.902465E-06
9.600000E+01	1.782055E-03	8.972317E-06
9.800000E+01	1.783657E-03	8.171272E-06
