# temperature	A	A+A	A+B	A+SE	B	B+B	B+SE	SE	SE+SE
0.000000E+00	3.559991E-12	7.356424E-21	1.000000E-04	1.014612E-12	5.381173E-12	1.849661E-20	1.378269E-14	1.097937E-05	4.451031E-05
2.000000E+00	5.936877E-12	1.888868E-20	9.999999E-05	1.616968E-12	7.526207E-12	3.681668E-20	2.240494E-14	1.316724E-05	4.341638E-05
4.000000E+00	9.141347E-12	4.187120E-20	9.999999E-05	2.389157E-12	1.140327E-11	8.415334E-20	3.904738E-14	1.570221E-05	4.214889E-05
6.000000E+00	1.397006E-11	9.258983E-20	9.999998E-05	3.516327E-12	1.743322E-11	1.913864E-19	6.785179E-14	1.861347E-05	4.069326E-05
8.000000E+00	2.155171E-11	2.112296E-19	9.999997E-05	5.239589E-12	2.646579E-11	4.192162E-19	1.155490E-13	2.192425E-05	3.903787E-05
1.000000E+01	3.275809E-11	4.733686E-19	9.999996E-05	7.708334E-12	4.090624E-11	9.298507E-19	1.975286E-13	2.564845E-05	3.717577E-05
1.200000E+01	5.084548E-11	1.118582E-18	9.999994E-05	1.159270E-11	6.213226E-11	1.947696E-18	3.269683E-13	2.978687E-05	3.510656E-05
1.400000E+01	7.847210E-11	2.639850E-18	9.999990E-05	1.733365E-11	9.525640E-11	4.071738E-18	5.381281E-13	3.432310E-05	3.283844E-05
1.600000E+01	1.212981E-10	6.304366E-18	9.999985E-05	2.592021E-11	1.463368E-10	8.392708E-18	8.741534E-13	3.921974E-05	3.039012E-05
1.800000E+01	1.878434E-10	1.521864E-17	9.999977E-05	3.871750E-11	2.251675E-10	1.709106E-17	1.401203E-12	4.441551E-05	2.779222E-05
2.000000E+01	2.914672E-10	3.706747E-17	9.999965E-05	5.768201E-11	3.469289E-10	3.447905E-17	2.216478E-12	4.982434E-05	2.508780E-05
2.200000E+01	4.531293E-10	9.087395E-17	9.999946E-05	8.556342E-11	5.352295E-10	6.913240E-17	3.461438E-12	5.533727E-05	2.233132E-05
2.400000E+01	7.059085E-10	2.237047E-16	9.999917E-05	1.261730E-10	8.267424E-10	1.382078E-16	5.339369E-12	6.082810E-05	1.958588E-05
2.600000E+01	1.102110E-09	5.515382E-16	9.999871E-05	1.846839E-10	1.278653E-09	2.764061E-16	8.140968E-12	6.616293E-05	1.691844E-05
2.800000E+01	1.724689E-09	1.358277E-15	9.999801E-05	2.679873E-10	1.980397E-09	5.548183E-16	1.228078E-11	7.121260E-05	1.439356E-05
3.000000E+01	2.705547E-09	3.332501E-15	9.999691E-05	3.851020E-10	3.072308E-09	1.121233E-15	1.835046E-11	7.586609E-05	1.206675E-05
3.200000E+01	4.255198E-09	8.126759E-15	9.999520E-05	5.477076E-10	4.774809E-09	2.287261E-15	2.719466E-11	8.004182E-05	9.978803E-06
3.400000E+01	6.707040E-09	1.964000E-14	9.999252E-05	7.704127E-10	7.438257E-09	4.724103E-15	4.004216E-11	8.369425E-05	8.152472E-06
3.600000E+01	1.059708E-08	4.698508E-14	9.998833E-05	1.072171E-09	1.161144E-08	9.887407E-15	5.864071E-11	8.681430E-05	6.592284E-06
3.800000E+01	1.677517E-08	1.110626E-13	9.998175E-05	1.476418E-09	1.816627E-08	2.099704E-14	8.554183E-11	8.942417E-05	5.287137E-06
