# concentration (uM) 	 Tm (C)
3.000000E+00	5.947955E+00
6.000000E+00	7.278848E+00
1.500000E+01	9.607522E+00
3.000000E+01	1.185269E+01
6.000000E+01	1.450822E+01
1.500000E+02	1.857934E+01
3.000000E+02	2.205549E+01
6.000000E+02	2.585038E+01
1.500000E+03	3.132727E+01
1.800000E+03	3.247977E+01
2.400000E+03	3.433811E+01
3.000000E+03	3.581419E+01
4.500000E+03	3.857873E+01
