# temperature	SE	SE+SE
0.000000E+00	8.362122E-06	2.581894E-05
2.000000E+00	9.992422E-06	2.500379E-05
4.000000E+00	1.186538E-05	2.406731E-05
6.000000E+00	1.399446E-05	2.300277E-05
8.000000E+00	1.638621E-05	2.180690E-05
1.000000E+01	1.903748E-05	2.048126E-05
1.200000E+01	2.193268E-05	1.903366E-05
1.400000E+01	2.504134E-05	1.747933E-05
1.600000E+01	2.831652E-05	1.584174E-05
1.800000E+01	3.169495E-05	1.415253E-05
2.000000E+01	3.509942E-05	1.245029E-05
2.200000E+01	3.844405E-05	1.077798E-05
2.400000E+01	4.164194E-05	9.179028E-06
2.600000E+01	4.461447E-05	7.692763E-06
2.800000E+01	4.729994E-05	6.350028E-06
3.000000E+01	4.965970E-05	5.170150E-06
3.200000E+01	5.168005E-05	4.159973E-06
3.400000E+01	5.336989E-05	3.315055E-06
3.600000E+01	5.475515E-05	2.622426E-06
3.800000E+01	5.587209E-05	2.063956E-06
4.000000E+01	5.676105E-05	1.619476E-06
4.200000E+01	5.746174E-05	1.269130E-06
4.400000E+01	5.801031E-05	9.948450E-07
4.600000E+01	5.843795E-05	7.810252E-07
4.800000E+01	5.877057E-05	6.147151E-07
5.000000E+01	5.902913E-05	4.854368E-07
5.200000E+01	5.923025E-05	3.848759E-07
5.400000E+01	5.938696E-05	3.065210E-07
5.600000E+01	5.950936E-05	2.453179E-07
5.800000E+01	5.960527E-05	1.973656E-07
6.000000E+01	5.968067E-05	1.596629E-07
6.200000E+01	5.974019E-05	1.299043E-07
6.400000E+01	5.978736E-05	1.063189E-07
6.600000E+01	5.982491E-05	8.754506E-08
6.800000E+01	5.985493E-05	7.253424E-08
7.000000E+01	5.987905E-05	6.047697E-08
7.200000E+01	5.989851E-05	5.074678E-08
7.400000E+01	5.991429E-05	4.285730E-08
7.600000E+01	5.992714E-05	3.642973E-08
7.800000E+01	5.993766E-05	3.116800E-08
8.000000E+01	5.994632E-05	2.683990E-08
8.200000E+01	5.995347E-05	2.326261E-08
8.400000E+01	5.995942E-05	2.029166E-08
8.600000E+01	5.996438E-05	1.781247E-08
8.800000E+01	5.996853E-05	1.573379E-08
9.000000E+01	5.997203E-05	1.398269E-08
9.200000E+01	5.997500E-05	1.250063E-08
9.400000E+01	5.997752E-05	1.124049E-08
9.600000E+01	5.997967E-05	1.016413E-08
9.800000E+01	5.998152E-05	9.240632E-09
