# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
4.800000E+01	3.472625E-07	2.864926E-11	1.591876E-15	1.644487E-19	7.053729E-12	1.722983E-07	2.249516E-07	6.046573E-04	2.970948E-04	1.117168E-08	4.241467E-13	5.084398E-07	9.460237E-12	2.227207E-16	6.711643E-21
5.000000E+01	5.915241E-07	7.280866E-11	6.495801E-15	1.036397E-18	1.742994E-11	2.564873E-07	3.047105E-07	6.774429E-04	2.604117E-04	1.959289E-08	1.129692E-12	8.285504E-07	2.313976E-11	8.463696E-16	3.937639E-20
5.200000E+01	9.967331E-07	1.801914E-10	2.555979E-14	6.227458E-18	4.181997E-11	3.738350E-07	4.021586E-07	7.480919E-04	2.246626E-04	3.370133E-08	2.948400E-12	1.337193E-06	5.594540E-11	3.156065E-15	2.254636E-19
5.400000E+01	1.658911E-06	4.340580E-10	9.681538E-14	3.562244E-17	9.734980E-11	5.336953E-07	5.172872E-07	8.143543E-04	1.909134E-04	5.687018E-08	7.533672E-12	2.136517E-06	1.334895E-10	1.152554E-14	1.256354E-18
5.600000E+01	2.723843E-06	1.017712E-09	3.526789E-13	1.938593E-16	2.198964E-10	7.471045E-07	6.491998E-07	8.743231E-04	1.600318E-04	9.421778E-08	1.884082E-11	3.378541E-06	3.139231E-10	4.115010E-14	6.796659E-18
5.800000E+01	4.408251E-06	2.323629E-09	1.235280E-12	1.003863E-15	4.824895E-10	1.027307E-06	7.964643E-07	9.266008E-04	1.325919E-04	1.534102E-07	4.612466E-11	5.286218E-06	7.267070E-10	1.434172E-13	3.561924E-17
6.000000E+01	7.027450E-06	5.170268E-09	4.161508E-12	4.950061E-15	1.030118E-09	1.390647E-06	9.575932E-07	9.703331E-04	1.088418E-04	2.457871E-07	1.105719E-10	8.181192E-06	1.653943E-09	4.871432E-13	1.804374E-16
6.200000E+01	1.102985E-05	1.122143E-08	1.349285E-11	2.326471E-14	2.144324E-09	1.857807E-06	1.131476E-06	1.005106E-03	8.873427E-05	3.878768E-07	2.595991E-10	1.251862E-05	3.695822E-09	1.609653E-12	8.813205E-16
6.400000E+01	1.703697E-05	2.377305E-08	4.212598E-11	1.042825E-13	4.360325E-09	2.455242E-06	1.317603E-06	1.030749E-03	7.200205E-05	6.033014E-07	5.967248E-10	1.892791E-05	8.095079E-09	5.162218E-12	4.137906E-15
6.600000E+01	2.588466E-05	4.917599E-08	1.266528E-10	4.457644E-13	8.672781E-09	3.216511E-06	1.516004E-06	1.047104E-03	5.824756E-05	9.248862E-07	1.341531E-09	2.825494E-05	1.734517E-08	1.602209E-11	1.860379E-14
