Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	8.52E+2	0.01	1.36E+3	4.53E+2	30	3.34E-1	2.24E0	3.84E-2
2	1.07E+3	0.0158	1.7E+3	4.82E+2	30	2.84E-1	7.1E+1	9.89E-1
3	1.21E+3	0.0251	1.79E+3	4.19E+2	30	2.34E-1	7.51E+1	1E0
4	1.28E+3	0.0398	1.9E+3	3.43E+2	30	1.8E-1	7.86E+1	1E0
5	1.32E+3	0.0631	1.97E+3	3.03E+2	30	1.53E-1	8.08E+1	9.94E-1
6	1.34E+3	0.1	2.05E+3	2.61E+2	30	1.28E-1	8.37E+1	9.98E-1
7	1.37E+3	0.158	2.11E+3	2.32E+2	30	1.1E-1	8.62E+1	9.98E-1
8	1.39E+3	0.251	2.16E+3	2.01E+2	30	9.3E-2	8.82E+1	9.98E-1
9	1.4E+3	0.398	2.21E+3	1.79E+2	30	8.11E-2	9.02E+1	1E0
10	1.41E+3	0.631	2.26E+3	1.65E+2	30	7.32E-2	9.19E+1	9.98E-1
11	1.42E+3	1	2.29E+3	1.51E+2	30	6.6E-2	9.33E+1	9.97E-1
12	1.42E+3	1.58	2.33E+3	1.43E+2	30	6.14E-2	9.5E+1	1E0
13	1.43E+3	2.51	2.37E+3	1.4E+2	30	5.91E-2	9.66E+1	1E0
14	1.44E+3	3.98	2.41E+3	1.38E+2	30	5.74E-2	9.81E+1	9.99E-1
15	1.45E+3	6.31	2.45E+3	1.42E+2	30	5.77E-2	1E+2	1E0
16	1.45E+3	10	2.51E+3	1.5E+2	30	5.97E-2	1.02E+2	1E0
