Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	5.51E+2	0.01	1.38E-1	3.02E0	50	2.19E+1	1.22E-1	9.93E-1
2	8.36E+2	0.0158	3.21E-2	4.7E0	50	1.46E+2	1.92E-1	1E0
3	1.08E+3	0.0251	6.86E-1	7.36E0	50	1.07E+1	2.99E-1	9.94E-1
4	1.2E+3	0.0398	7.4E-1	1.1E+1	50	1.49E+1	4.55E-1	1.01E0
5	1.28E+3	0.0631	3.19E-1	1.8E+1	50	5.65E+1	7.39E-1	1.01E0
6	1.32E+3	0.1	9.97E-1	2.9E+1	50	2.91E+1	1.18E0	1E0
7	1.36E+3	0.158	2.3E0	4.49E+1	50	1.95E+1	1.83E0	1E0
8	1.39E+3	0.251	5.15E0	7.02E+1	50	1.36E+1	2.87E0	1E0
9	1.4E+3	0.398	1.36E+1	1.1E+2	50	8.14E0	4.56E0	1.01E0
10	1.41E+3	0.631	3.31E+1	1.71E+2	50	5.16E0	7.09E0	1E0
11	1.42E+3	1	7.6E+1	2.54E+2	50	3.34E0	1.08E+1	1E0
12	1.43E+3	1.58	1.6E+2	3.56E+2	50	2.23E0	1.59E+1	1E0
13	1.44E+3	2.51	2.98E+2	4.55E+2	50	1.53E0	2.22E+1	1E0
14	1.44E+3	3.98	4.85E+2	5.25E+2	50	1.08E0	2.91E+1	1E0
15	1.45E+3	6.31	6.94E+2	5.42E+2	50	7.81E-1	3.59E+1	1E0
16	1.46E+3	10	8.94E+2	5.11E+2	50	5.72E-1	4.2E+1	1E0
