Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	1.51E+4	0.0005	6.94E-1	8.99E0	40	1.3E+1	3.63E-1	9.89E-1
2	2.28E+4	0.000784	8.07E-1	1.44E+1	40	1.78E+1	5.93E-1	1.01E0
3	2.89E+4	0.00123	1.18E0	2.27E+1	40	1.93E+1	9.28E-1	1E0
4	3.28E+4	0.00193	1.96E0	3.6E+1	40	1.84E+1	1.48E0	1.01E0
5	3.43E+4	0.00303	4.05E0	5.6E+1	40	1.38E+1	2.3E0	1.01E0
6	3.54E+4	0.00475	6.78E0	8.82E+1	40	1.3E+1	3.57E0	9.91E-1
7	3.6E+4	0.00745	1.76E+1	1.36E+2	40	7.77E0	5.66E0	1.01E0
8	3.64E+4	0.0117	4.19E+1	2.09E+2	40	4.97E0	8.72E0	1.01E0
9	3.66E+4	0.0183	9.61E+1	3.09E+2	40	3.21E0	1.29E+1	9.79E-1
10	3.67E+4	0.0287	1.96E+2	4.24E+2	40	2.16E0	1.94E+1	1.02E0
11	3.68E+4	0.0451	3.56E+2	5.39E+2	40	1.51E0	2.64E+1	1E0
12	3.69E+4	0.0707	5.63E+2	6.04E+2	40	1.07E0	3.39E+1	1.01E0
13	3.69E+4	0.111	8.01E+2	6.12E+2	40	7.64E-1	4.13E+1	1.01E0
14	3.69E+4	0.174	1.01E+3	5.87E+2	40	5.79E-1	4.75E+1	9.98E-1
15	3.7E+4	0.273	1.19E+3	5.21E+2	40	4.37E-1	5.29E+1	9.99E-1
16	3.7E+4	0.428	1.34E+3	4.52E+2	40	3.38E-1	5.74E+1	1E0
17	3.7E+4	0.671	1.45E+3	3.82E+2	40	2.63E-1	6.1E+1	9.98E-1
18	3.7E+4	1.05	1.55E+3	3.21E+2	40	2.08E-1	6.42E+1	9.99E-1
19	3.7E+4	1.65	1.62E+3	2.7E+2	40	1.67E-1	6.68E+1	1E0
20	3.7E+4	2.59	1.68E+3	2.29E+2	40	1.36E-1	6.94E+1	1E0
21	3.7E+4	4.06	1.74E+3	1.95E+2	40	1.12E-1	7.11E+1	1E0
22	3.7E+4	6.38	1.79E+3	1.67E+2	40	9.34E-2	7.3E+1	1E0
23	3.7E+4	10	1.83E+3	1.47E+2	40	8.02E-2	7.49E+1	1E0
