Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	9.02E+2	0.01	1.36E+3	4.88E+2	30	3.58E-1	5.57E0	9.45E-2
2	1.19E+3	0.0158	1.52E+3	4.17E+2	30	2.74E-1	6.41E+1	9.98E-1
3	1.29E+3	0.0251	1.62E+3	3.58E+2	30	2.21E-1	6.82E+1	1.01E0
4	1.35E+3	0.0398	1.71E+3	3.05E+2	30	1.79E-1	7.06E+1	1E0
5	1.39E+3	0.0631	1.77E+3	2.69E+2	30	1.52E-1	7.31E+1	1E0
6	1.42E+3	0.1	1.84E+3	2.33E+2	30	1.27E-1	7.55E+1	1E0
7	1.44E+3	0.158	1.9E+3	1.95E+2	30	1.03E-1	7.74E+1	9.97E-1
8	1.46E+3	0.251	1.95E+3	1.77E+2	30	9.1E-2	7.94E+1	9.99E-1
9	1.48E+3	0.398	1.99E+3	1.58E+2	30	7.93E-2	8.11E+1	9.99E-1
10	1.49E+3	0.631	2.03E+3	1.42E+2	30	7.01E-2	8.27E+1	1E0
11	1.5E+3	1	2.06E+3	1.3E+2	30	6.28E-2	8.4E+1	9.99E-1
12	1.5E+3	1.58	2.09E+3	1.21E+2	30	5.76E-2	8.53E+1	9.99E-1
13	1.51E+3	2.51	2.13E+3	1.14E+2	30	5.36E-2	8.68E+1	1E0
14	1.52E+3	3.98	2.16E+3	1.12E+2	30	5.16E-2	8.8E+1	1E0
15	1.53E+3	6.31	2.2E+3	1.13E+2	30	5.16E-2	8.94E+1	9.99E-1
16	1.53E+3	10	2.25E+3	1.17E+2	30	5.19E-2	9.15E+1	1E0
