Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	1.84E+2	0.03	6.8E-2	1.14E0	55	1.68E+1	4.64E-2	9.98E-1
2	2.49E+2	0.0469	3.57E-2	1.64E0	55	4.58E+1	6.72E-2	1.01E0
3	2.97E+2	0.0733	1.88E-1	2.49E0	55	1.32E+1	1.01E-1	9.99E-1
4	3.29E+2	0.115	0	4.03E0	55	1E+30	1.64E-1	1E0
5	3.58E+2	0.179	0	6.19E0	55	1E+30	2.52E-1	1E0
6	3.78E+2	0.28	1.57E-1	9.58E0	55	6.09E+1	3.9E-1	1E0
7	3.93E+2	0.438	5.67E-1	1.51E+1	55	2.65E+1	6.13E-1	1E0
8	4.02E+2	0.685	1.06E0	2.34E+1	55	2.2E+1	9.54E-1	1E0
9	4.11E+2	1.07	2.53E0	3.66E+1	55	1.45E+1	1.49E0	9.99E-1
10	4.17E+2	1.67	5.82E0	5.64E+1	55	9.7E0	2.31E0	1E0
11	4.25E+2	2.62	1.37E+1	8.71E+1	55	6.35E0	3.59E0	9.99E-1
12	4.34E+2	4.09	3.21E+1	1.32E+2	55	4.11E0	5.52E0	9.99E-1
13	4.41E+2	6.4	7.14E+1	1.94E+2	55	2.71E0	8.41E0	1E0
14	4.48E+2	10	1.51E+2	2.68E+2	55	1.78E0	1.25E+1	1E0
