Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	1.52E+4	0.0005	1.73E+3	5.66E+2	20	3.27E-1	1.07E0	1.45E-2
2	1.96E+4	0.000784	1.97E+3	4.8E+2	20	2.44E-1	8.2E+1	9.95E-1
3	2.25E+4	0.00123	2.11E+3	4.16E+2	20	1.97E-1	8.75E+1	9.99E-1
4	2.38E+4	0.00193	2.22E+3	3.56E+2	20	1.61E-1	9.17E+1	1E0
5	2.46E+4	0.00303	2.31E+3	3.07E+2	20	1.33E-1	9.46E+1	9.99E-1
6	2.51E+4	0.00475	2.38E+3	2.67E+2	20	1.12E-1	9.76E+1	1E0
7	2.55E+4	0.00745	2.44E+3	2.38E+2	20	9.73E-2	1E+2	1E0
8	2.57E+4	0.0117	2.5E+3	2.07E+2	20	8.29E-2	1.02E+2	9.99E-1
9	2.58E+4	0.0183	2.55E+3	1.87E+2	20	7.33E-2	1.04E+2	9.99E-1
10	2.59E+4	0.0287	2.59E+3	1.6E+2	20	6.17E-2	1.05E+2	9.98E-1
11	2.6E+4	0.0451	2.63E+3	1.52E+2	20	5.79E-2	1.07E+2	9.98E-1
12	2.6E+4	0.0707	2.67E+3	1.46E+2	20	5.49E-2	1.08E+2	9.97E-1
13	2.6E+4	0.111	2.71E+3	1.43E+2	20	5.3E-2	1.1E+2	9.96E-1
14	2.6E+4	0.174	2.74E+3	1.41E+2	20	5.14E-2	1.12E+2	9.99E-1
15	2.6E+4	0.273	2.78E+3	1.4E+2	20	5.05E-2	1.13E+2	9.98E-1
16	2.61E+4	0.428	2.82E+3	1.45E+2	20	5.15E-2	1.14E+2	9.94E-1
17	2.61E+4	0.671	2.85E+3	1.54E+2	20	5.41E-2	1.16E+2	1E0
18	2.61E+4	1.05	2.9E+3	1.67E+2	20	5.76E-2	1.18E+2	9.96E-1
19	2.61E+4	1.65	2.94E+3	1.79E+2	20	6.09E-2	1.2E+2	1E0
20	2.61E+4	2.59	3E+3	1.93E+2	20	6.43E-2	1.22E+2	1E0
21	2.61E+4	4.06	3.06E+3	2.07E+2	20	6.77E-2	1.25E+2	1E0
22	2.61E+4	6.38	3.13E+3	2.2E+2	20	7.02E-2	1.28E+2	1E0
23	2.61E+4	10	3.23E+3	2.36E+2	20	7.32E-2	1.32E+2	1E0
