Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	7.62E+3	0.001	2.95E-1	2.3E0	45	7.78E0	9.43E-2	1E0
2	1.14E+4	0.00158	2.77E-1	3.54E0	45	1.28E+1	1.48E-1	1.02E0
3	1.38E+4	0.00251	3.51E-1	5.83E0	45	1.66E+1	2.39E-1	1.01E0
4	1.57E+4	0.00398	2.2E-1	8.79E0	45	3.99E+1	3.66E-1	1.02E0
5	1.69E+4	0.00631	3.82E-1	1.43E+1	45	3.76E+1	5.91E-1	1.01E0
6	1.76E+4	0.01	1.01E0	2.28E+1	45	2.25E+1	9.3E-1	1E0
7	1.79E+4	0.0158	7.47E-1	3.6E+1	45	4.82E+1	1.49E0	1.02E0
8	1.81E+4	0.0251	3.57E0	5.67E+1	45	1.59E+1	2.32E0	1E0
9	1.82E+4	0.0398	8.1E0	8.58E+1	45	1.06E+1	3.57E0	1.02E0
10	1.83E+4	0.0631	2.11E+1	1.39E+2	45	6.6E0	5.7E0	9.96E-1
11	1.83E+4	0.1	4.48E+1	2.13E+2	45	4.76E0	8.96E0	1.01E0
12	1.84E+4	0.158	9.88E+1	3.14E+2	45	3.18E0	1.34E+1	1E0
13	1.84E+4	0.251	2.1E+2	4.32E+2	45	2.05E0	1.97E+1	1.01E0
14	1.84E+4	0.398	3.84E+2	5.37E+2	45	1.4E0	2.69E+1	1E0
15	1.84E+4	0.631	6.04E+2	5.97E+2	45	9.89E-1	3.47E+1	1E0
16	1.84E+4	1	8.33E+2	5.95E+2	45	7.15E-1	4.18E+1	1E0
17	1.84E+4	1.58	1.04E+3	5.5E+2	45	5.31E-1	4.79E+1	1E0
18	1.84E+4	2.51	1.21E+3	4.81E+2	45	3.98E-1	5.28E+1	9.99E-1
19	1.85E+4	3.98	1.34E+3	4.06E+2	45	3.03E-1	5.7E+1	1E0
20	1.85E+4	6.31	1.45E+3	3.38E+2	45	2.33E-1	6.05E+1	1E0
21	1.85E+4	10	1.54E+3	2.8E+2	45	1.82E-1	6.36E+1	1E0
