Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	92.1	0.1	7.02E+2	6.79E+2	40	9.67E-1	3.96E+1	9.97E-1
2	132	0.158	9.4E+2	7.06E+2	40	7.51E-1	4.75E+1	9.94E-1
3	153	0.251	1.18E+3	6.81E+2	40	5.77E-1	5.54E+1	1E0
4	164	0.398	1.39E+3	6.41E+2	40	4.6E-1	6.27E+1	1E0
5	171	0.631	1.59E+3	5.81E+2	40	3.66E-1	6.89E+1	1E0
6	177	1	1.75E+3	5.2E+2	40	2.97E-1	7.45E+1	1E0
7	184	1.58	1.89E+3	4.59E+2	40	2.43E-1	7.92E+1	1E0
8	191	2.51	2.01E+3	4.04E+2	40	2.01E-1	8.35E+1	1E0
9	200	3.98	2.11E+3	3.6E+2	40	1.71E-1	8.72E+1	1E0
10	207	6.31	2.21E+3	3.28E+2	40	1.49E-1	9.1E+1	1E0
11	215	10	2.32E+3	3.08E+2	40	1.33E-1	9.53E+1	1E0
