Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	92.1	0.1	4.91E+2	1.84E+2	35	3.75E-1	2.12E+1	9.93E-1
2	132	0.158	5.54E+2	1.64E+2	35	2.96E-1	2.33E+1	9.93E-1
3	153	0.251	6.05E+2	1.42E+2	35	2.35E-1	2.52E+1	9.98E-1
4	167	0.398	6.46E+2	1.21E+2	35	1.87E-1	2.67E+1	9.97E-1
5	176	0.631	6.79E+2	1.02E+2	35	1.51E-1	2.79E+1	9.98E-1
6	183	1	7.05E+2	8.6E+1	35	1.22E-1	2.89E+1	9.98E-1
7	190	1.58	7.27E+2	7.27E+1	35	9.99E-2	2.97E+1	9.98E-1
8	197	2.51	7.48E+2	6.12E+1	35	8.18E-2	3.05E+1	1E0
9	207	3.98	7.67E+2	5.35E+1	35	6.97E-2	3.13E+1	9.99E-1
10	214	6.31	7.91E+2	4.76E+1	35	6.02E-2	3.22E+1	9.99E-1
11	222	10	8.25E+2	4.41E+1	35	5.34E-2	3.37E+1	1E0
