Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	7.63E+3	0.001	1.31E+3	6.44E+2	25	4.92E-1	1.67E0	2.81E-2
2	1.05E+4	0.00158	1.57E+3	6.23E+2	25	3.96E-1	6.89E+1	1E0
3	1.19E+4	0.00251	1.75E+3	5.55E+2	25	3.17E-1	7.5E+1	1E0
4	1.25E+4	0.00398	1.91E+3	4.79E+2	25	2.51E-1	8.08E+1	1.01E0
5	1.29E+4	0.00631	2.03E+3	4.21E+2	25	2.07E-1	8.49E+1	1.01E0
6	1.31E+4	0.01	2.13E+3	3.61E+2	25	1.7E-1	8.84E+1	1.01E0
7	1.33E+4	0.0158	2.22E+3	3.12E+2	25	1.4E-1	9.12E+1	9.98E-1
8	1.34E+4	0.0251	2.3E+3	2.7E+2	25	1.17E-1	9.43E+1	9.99E-1
9	1.35E+4	0.0398	2.36E+3	2.36E+2	25	1E-1	9.64E+1	9.98E-1
10	1.35E+4	0.0631	2.42E+3	2.13E+2	25	8.79E-2	9.86E+1	9.96E-1
11	1.35E+4	0.1	2.48E+3	1.96E+2	25	7.93E-2	1.01E+2	9.97E-1
12	1.36E+4	0.158	2.52E+3	1.75E+2	25	6.95E-2	1.03E+2	9.99E-1
13	1.36E+4	0.251	2.57E+3	1.69E+2	25	6.58E-2	1.05E+2	9.99E-1
14	1.36E+4	0.398	2.61E+3	1.65E+2	25	6.31E-2	1.06E+2	9.96E-1
15	1.36E+4	0.631	2.66E+3	1.61E+2	25	6.06E-2	1.08E+2	9.97E-1
16	1.36E+4	1	2.7E+3	1.64E+2	25	6.08E-2	1.1E+2	9.99E-1
17	1.36E+4	1.58	2.74E+3	1.69E+2	25	6.15E-2	1.12E+2	9.98E-1
18	1.36E+4	2.51	2.79E+3	1.78E+2	25	6.38E-2	1.14E+2	1E0
19	1.36E+4	3.98	2.85E+3	1.9E+2	25	6.66E-2	1.16E+2	1E0
20	1.36E+4	6.31	2.91E+3	2.06E+2	25	7.07E-2	1.19E+2	9.99E-1
21	1.36E+4	10	3.01E+3	2.24E+2	25	7.45E-2	1.23E+2	1E0
