Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	319	0.03	1.11E+3	7.15E+2	35	6.42E-1	4.65E+1	8.63E-1
2	438	0.0469	1.34E+3	6.84E+2	35	5.09E-1	6.09E+1	9.92E-1
3	487	0.0733	1.55E+3	6.23E+2	35	4.03E-1	6.76E+1	9.97E-1
4	509	0.115	1.71E+3	5.69E+2	35	3.32E-1	7.39E+1	1E0
5	532	0.179	1.87E+3	4.97E+2	35	2.66E-1	7.88E+1	1E0
6	548	0.28	1.99E+3	4.4E+2	35	2.21E-1	8.31E+1	1E0
7	558	0.438	2.1E+3	3.88E+2	35	1.85E-1	8.68E+1	9.99E-1
8	565	0.685	2.2E+3	3.42E+2	35	1.56E-1	9.04E+1	9.99E-1
9	572	1.07	2.28E+3	3.08E+2	35	1.35E-1	9.34E+1	9.99E-1
10	579	1.67	2.35E+3	2.85E+2	35	1.21E-1	9.64E+1	1E0
11	585	2.62	2.42E+3	2.66E+2	35	1.1E-1	9.92E+1	1E0
12	592	4.09	2.49E+3	2.57E+2	35	1.03E-1	1.02E+2	1E0
13	599	6.4	2.57E+3	2.54E+2	35	9.9E-2	1.05E+2	1E0
14	607	10	2.66E+3	2.59E+2	35	9.74E-2	1.09E+2	1E0
