Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	5.06E+1	0.1	7.23E-2	4.84E-1	60	6.7E0	1.99E-2	1E0
2	7.68E+1	0.158	6.03E-2	6.13E-1	60	1.02E+1	2.51E-2	1E0
3	9.38E+1	0.251	3.82E-2	9.8E-1	60	2.57E+1	3.99E-2	1E0
4	1.05E+2	0.398	4.97E-2	1.57E0	60	3.16E+1	6.39E-2	1E0
5	1.12E+2	0.631	7.36E-2	2.42E0	60	3.29E+1	9.85E-2	1E0
6	1.17E+2	1	1.44E-1	3.57E0	60	2.48E+1	1.46E-1	1E0
7	1.24E+2	1.58	0	6.1E0	60	1E+30	2.48E-1	1E0
8	1.31E+2	2.51	2.84E-1	9.51E0	60	3.34E+1	3.87E-1	9.99E-1
9	1.41E+2	3.98	5.01E-1	1.52E+1	60	3.03E+1	6.17E-1	1E0
10	1.48E+2	6.31	9.17E-1	2.4E+1	60	2.62E+1	9.77E-1	9.98E-1
11	1.54E+2	10	3.57E0	3.81E+1	60	1.07E+1	1.56E0	1E0
