Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Temperature	Damping Factor	Torque	Strain
	[s]	[Hz]	[Pa]	[Pa]	[°C]	[1]	[µNm]	[%]
1	852	0.01	1.65E+3	9.68E+2	30	5.87E-1	2.16E0	2.78E-2
2	1140	0.0158	1.79E+3	5.88E+2	30	3.28E-1	7.51E+1	9.78E-1
3	1280	0.0251	1.96E+3	5.21E+2	30	2.65E-1	8.32E+1	1.01E0
4	1340	0.0398	2.09E+3	4.6E+2	30	2.2E-1	8.63E+1	9.92E-1
5	1380	0.0631	2.21E+3	4.06E+2	30	1.83E-1	9.14E+1	9.99E-1
6	1410	0.1	2.3E+3	3.52E+2	30	1.53E-1	9.44E+1	9.98E-1
7	1430	0.158	2.39E+3	3.09E+2	30	1.29E-1	9.77E+1	9.97E-1
8	1450	0.251	2.46E+3	2.77E+2	30	1.13E-1	1.01E+2	9.97E-1
9	1460	0.398	2.53E+3	2.54E+2	30	1.01E-1	1.03E+2	9.95E-1
10	1470	0.631	2.59E+3	2.39E+2	30	9.23E-2	1.06E+2	9.99E-1
11	1480	1	2.65E+3	2.28E+2	30	8.58E-2	1.08E+2	9.95E-1
12	1490	1.58	2.71E+3	2.25E+2	30	8.28E-2	1.11E+2	1E0
13	1490	2.51	2.77E+3	2.24E+2	30	8.08E-2	1.13E+2	1E0
14	1500	3.98	2.83E+3	2.3E+2	30	8.11E-2	1.16E+2	1E0
15	1510	6.31	2.9E+3	2.4E+2	30	8.26E-2	1.19E+2	1E0
16	1510	10	2.98E+3	2.54E+2	30	8.52E-2	1.22E+2	1E0

