Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.685;7.39;10;1;1080;0;0;0.118;20;30.2;MV-.WMa;
2;5.1;52.7;10;2;1030;38.7;0.0375;0.881;20;215;WMa;
3;6.21;64.5;10;3;1040;36.1;0.0348;1.07;20;264;WMa;
4;7.83;81.4;10;4;1040;41;0.0395;1.35;20;333;WMa;
5;9.86;102;10;5;1040;41.3;0.0398;1.7;20;419;WMa;
6;12.5;130;10;6;1050;34;0.0325;2.16;20;534;WMa;
7;15.8;166;10;7;1050;39;0.0371;2.73;20;679;WMa;
8;19.9;210;10;8;1050;51.3;0.0488;3.44;20;858;WMa;
9;24.9;265;10;9;1060;62;0.0584;4.3;20;1080;WMa;
10;30.7;330;10;10;1070;71.3;0.0664;5.3;20;1350;WMa;
11;35.8;382;10;11;1060;119;0.112;6.18;20;1560;WMa;
12;38.5;403;10;12;1030;187;0.181;6.65;20;1650;WMa;
13;41.7;435;10;13;1010;260;0.257;7.21;20;1780;WMa;
14;46;481;10;14;993;330;0.332;7.95;20;1970;WMa;
15;51.4;539;10;15;973;393;0.404;8.88;20;2200;WMa;
16;57.9;603;10;16;938;450;0.479;10;20;2470;WMa;
17;64.8;654;10;17;874;505;0.577;11.2;20;2670;WMa;
18;71.8;696;10;18;802;545;0.68;12.4;20;2850;WMa;
19;80.4;752;10;19;737;576;0.782;13.9;20;3080;WMa;
20;91.4;820;10;20;668;600;0.897;15.8;20;3350;WMa;
21;104;892;10;21;598;610;1.02;18.1;20;3650;WMa;
