Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];;
1;0.1;0.0316;10;17.4;0;31.5;1 000 000 000 000 000 000 000 000 000 000;0.0173;20;0.129;ME-.taD;;
2;0.126;0.0417;10;24.1;0;33.1;1 000 000 000 000 000 000 000 000 000 000;0.0218;20;0.171;ME-.taD;;
3;0.159;0.0473;10;30.7;0;29.9;1 000 000 000 000 000 000 000 000 000 000;0.0274;20;0.194;ME-.taD;;
4;0.199;0.0618;10;36.7;0;31;1 000 000 000 000 000 000 000 000 000 000;0.0345;20;0.253;ME-.taD;;
5;0.251;0.0781;10;43.3;0;31.1;1 000 000 000 000 000 000 000 000 000 000;0.0434;20;0.319;ME-.taD;;
6;0.316;0.0968;10;49.9;0;30.6;1 000 000 000 000 000 000 000 000 000 000;0.0547;20;0.396;ME-.taD;;
7;0.398;0.124;10;56.5;0;31.2;1 000 000 000 000 000 000 000 000 000 000;0.0688;20;0.508;ME-.taD;;
8;0.501;0.155;10;63.1;0;31;1 000 000 000 000 000 000 000 000 000 000;0.0866;20;0.635;ME-.taD;;
9;0.631;0.196;10;69.7;0;31.1;1 000 000 000 000 000 000 000 000 000 000;0.109;20;0.802;ME-.taD;;
10;0.794;0.242;10;76.4;0;30.5;1 000 000 000 000 000 000 000 000 000 000;0.137;20;0.989;ME-.taD;;
11;1;0.303;10;82.3;0;30.3;1 000 000 000 000 000 000 000 000 000 000;0.173;20;1.24;ME-.taD;;
12;1.26;0.366;10;89;0;29.1;1 000 000 000 000 000 000 000 000 000 000;0.218;20;1.5;ME-.taD;;
13;1.58;0.453;10;94.9;0;28.6;1 000 000 000 000 000 000 000 000 000 000;0.274;20;1.85;ME-.taD;;
14;1.99;0.558;10;101;0;28;1 000 000 000 000 000 000 000 000 000 000;0.344;20;2.28;ME-.taD;;
15;2.51;0.692;10;107;0;27.5;1 000 000 000 000 000 000 000 000 000 000;0.434;20;2.83;ME-.taD;;
16;3.16;0.854;10;113;0;27;1 000 000 000 000 000 000 000 000 000 000;0.546;20;3.49;ME-.taD;;
17;3.99;1.1;10;119;5.17;27.2;5.26;0.689;20;4.52;;;
18;5.01;1.46;10;125;11.3;26.9;2.37;0.866;20;5.98;;;
19;6.31;1.92;10;131;14.4;26.8;1.86;1.09;20;7.84;;;
20;7.95;2.41;10;137;14.2;26.8;1.89;1.37;20;9.86;;;
21;10;3.02;10;143;14.2;26.7;1.88;1.73;20;12.4;;;
22;12.6;3.94;10;149;16.5;26.6;1.62;2.18;20;16.1;;;
23;15.8;4.81;10;155;14.4;26.7;1.85;2.74;20;19.7;;;
24;20;6.02;10;161;14.2;26.6;1.87;3.45;20;24.6;;;
25;25.1;7.6;10;167;14.4;26.6;1.85;4.34;20;31.1;;;
26;31.6;9.54;10;173;14.2;26.6;1.87;5.47;20;39;;;
27;39.8;12.1;10;179;14.6;26.7;1.82;6.88;20;49.5;;;
28;50.1;15.3;10;185;14.8;26.7;1.8;8.66;20;62.7;;;
29;63.1;19.4;10;191;14.8;26.9;1.82;10.9;20;79.2;;;
30;79.4;24.3;10;197;13;27.6;2.12;13.7;20;99.3;;;
31;100;31.7;10;203;14.4;28.2;1.95;17.3;20;130;;;
