Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.995;0.628;0.03;285;13.3;61.7;4.64;0.172;30;2.57;;
2;0.983;0.868;0.0438;366;22;85.4;3.88;0.17;30;3.55;;
3;1.01;1.23;0.064;422;41.5;115;2.77;0.174;30;5.03;;
4;1;1.67;0.0934;460;68.2;152;2.23;0.173;30;6.83;;
5;1;2.22;0.136;487;111;192;1.73;0.173;30;9.09;;
6;1.01;2.84;0.199;513;169;227;1.34;0.174;30;11.6;;
7;1;3.5;0.291;532;241;253;1.05;0.173;30;14.3;;
8;0.999;4.17;0.425;545;321;266;0.829;0.173;30;17;;
9;1;4.81;0.621;553;400;264;0.659;0.173;30;19.7;;
10;1;5.39;0.906;558;475;251;0.528;0.173;30;22;;
11;0.999;5.87;1.32;564;541;229;0.422;0.173;30;24;;
12;1;6.3;1.93;570;597;202;0.338;0.173;30;25.8;;
13;1;6.64;2.82;577;641;174;0.271;0.173;30;27.2;;
14;1;6.91;4.12;585;675;147;0.218;0.173;30;28.3;;
15;1;7.07;6.02;592;696;123;0.177;0.173;30;28.9;;
16;1;7.11;8.79;599;703;103;0.146;0.173;30;29.1;;
17;1;6.96;12.8;609;691;86.5;0.125;0.173;30;28.5;;
18;1;6.42;18.8;617;638;74.4;0.117;0.173;30;26.3;;
19;1;5.2;27.4;623;517;61.8;0.12;0.173;30;21.3;;
20;1;2.43;40;629;239;40.3;0.169;0.173;30;9.93;;
