Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.999;0.0113;0.1;50.4;1.11;0.229;0.207;0.173;25;0.0462;
2;0.996;0.0113;0.145;68.3;1.12;0.223;0.2;0.172;25;0.0463;
3;0.999;0.0121;0.211;88.2;1.18;0.28;0.238;0.173;25;0.0494;
4;1;0.0134;0.308;102;1.26;0.459;0.364;0.173;25;0.055;
5;1;0.0132;0.447;112;1.25;0.411;0.327;0.173;25;0.054;
6;0.999;0.0135;0.65;119;1.2;0.628;0.524;0.173;25;0.0553;
7;0.997;0.0166;0.946;125;1.47;0.781;0.531;0.172;25;0.0679;
8;1;0.0195;1.38;131;1.72;0.915;0.531;0.173;25;0.0798;
9;1;0.0215;2;136;1.84;1.1;0.596;0.173;25;0.0879;
10;0.998;0.03;2.91;142;2.52;1.64;0.649;0.172;25;0.123;
11;1;0.0476;4.23;148;3.9;2.73;0.7;0.173;25;0.195;
12;0.999;0.0645;6.15;153;5.63;3.15;0.559;0.173;25;0.264;
13;1;0.113;8.94;159;10.7;3.69;0.346;0.173;25;0.463;
14;1;0.243;13;166;24;3.63;0.151;0.173;25;0.993;
15;1;0.529;18.9;172;52.4;7.72;0.147;0.173;25;2.17;
16;1;1.09;27.5;178;108;13.3;0.124;0.173;25;4.44;
17;1;2.38;40;184;236;29;0.123;0.173;25;9.73;
