Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;1;7.04;10;8.61;697;97.2;0.14;0.173;30;28.8;;
2;1.26;8.87;10;16.5;697;97.2;0.139;0.218;30;36.3;;
3;1.58;11.2;10;24.4;698;97.2;0.139;0.274;30;45.7;;
4;1.99;14.1;10;32.3;700;95.4;0.136;0.344;30;57.6;;
5;2.51;17.8;10;40.2;704;96.1;0.137;0.434;30;73;;
6;3.16;22.6;10;48;709;95.4;0.135;0.547;30;92.5;;
7;3.98;28.7;10;55.9;714;94.5;0.132;0.688;30;117;;
8;5.01;36.4;10;63.8;720;93.9;0.13;0.866;30;149;;
9;6.31;45.9;10;71.1;722;93.7;0.13;1.09;30;188;;
10;7.94;57.6;10;78.3;719;94.5;0.131;1.37;30;236;;
11;10;72.4;10;85.6;718;96.7;0.135;1.73;30;296;;
12;12.6;91.6;10;92.8;721;101;0.14;2.18;30;375;;
13;15.8;115;10;100;720;109;0.151;2.74;30;472;;
14;19.9;146;10;107;723;121;0.167;3.45;30;598;;
15;25.1;186;10;115;727;144;0.197;4.34;30;761;;
16;31.6;237;10;122;727;191;0.262;5.46;30;971;;
17;39.8;302;10;130;715;254;0.355;6.87;30;1230;;
18;50;372;10;138;673;318;0.472;8.65;30;1520;;
19;63;448;10;146;606;373;0.616;10.9;30;1830;;
20;79.3;534;10;153;533;411;0.771;13.7;30;2180;;
21;99.9;618;10;160;448;426;0.952;17.3;30;2530;;
