Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;1;9.22;10;8.61;921;55.1;0.0598;0.173;25;37.7;;
2;1.26;11.6;10;17.1;916;55.1;0.0601;0.217;25;47.2;;
3;1.58;14.5;10;25.7;915;55.3;0.0604;0.273;25;59.2;;
4;2;18.2;10;34.2;912;55.4;0.0607;0.345;25;74.6;;
5;2.51;23;10;42.1;915;53.5;0.0585;0.434;25;94.1;;
6;3.16;28.7;10;50;908;55.5;0.0611;0.545;25;117;;
7;3.98;36.2;10;57.8;906;55.7;0.0615;0.689;25;148;;
8;5.01;45.3;10;65.7;903;56.2;0.0622;0.866;25;185;;
9;6.31;56.9;10;73.6;900;58.6;0.0651;1.09;25;233;;
10;7.94;71.5;10;81.5;899;65.3;0.0727;1.37;25;292;;
11;9.99;89.9;10;88.7;896;76.4;0.0853;1.73;25;368;;
12;12.6;113;10;96.6;893;91.5;0.102;2.17;25;462;;
13;15.8;142;10;105;893;111;0.124;2.74;25;583;;
14;19.9;180;10;112;892;145;0.163;3.44;25;737;;
15;25.1;228;10;120;886;200;0.225;4.34;25;932;;
16;31.6;288;10;128;871;268;0.307;5.46;25;1180;;
17;39.8;363;10;136;850;334;0.393;6.88;25;1490;;
18;50;448;10;144;797;408;0.511;8.64;25;1830;;
19;63;531;10;152;699;473;0.676;10.9;25;2170;;
20;79.3;620;10;159;593;510;0.86;13.7;25;2540;;
21;99.9;703;10;166;484;511;1.06;17.3;25;2870;;
