Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;1;10.3;10;7.98;1030;53.4;0.0517;0.173;20;42.3;;
2;1.26;13;10;15.9;1030;53.6;0.0519;0.218;20;53.2;;
3;1.59;16.4;10;23.7;1030;53.7;0.0521;0.274;20;67;;
4;1.99;20.6;10;31.6;1030;53.8;0.0523;0.345;20;84;;
5;2.51;25.8;10;39.5;1030;53.5;0.052;0.434;20;106;;
6;3.16;32.5;10;47.4;1030;54.7;0.0532;0.546;20;133;;
7;3.98;40.9;10;55.9;1030;55.8;0.0544;0.688;20;167;;
8;5.01;51.5;10;63.8;1030;58.1;0.0566;0.867;20;211;;
9;6.31;64.7;10;71.7;1020;65.3;0.0638;1.09;20;265;;
10;7.95;81.2;10;79.6;1020;77.6;0.0761;1.37;20;332;;
11;9.99;102;10;87.5;1010;93.8;0.0924;1.73;20;416;;
12;12.6;128;10;95.4;1010;112;0.111;2.17;20;523;;
13;15.8;161;10;103;1010;139;0.138;2.74;20;657;;
14;19.9;203;10;111;1000;179;0.179;3.45;20;829;;
15;25.1;255;10;119;989;236;0.238;4.34;20;1040;;
16;31.6;322;10;127;970;310;0.319;5.46;20;1320;;
17;39.8;405;10;135;946;378;0.399;6.88;20;1660;;
18;50.1;501;10;143;890;456;0.512;8.65;20;2050;;
19;63;591;10;151;778;524;0.674;10.9;20;2410;;
20;79.2;668;10;158;632;557;0.882;13.7;20;2730;;
21;99.9;752;10;164;507;557;1.1;17.3;20;3070;;
