Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];;
1;0.967;0.169;0.03;434;2.72;17.3;6.36;0.167;10;0.691;WMa;;
2;1;0.249;0.0438;492;4.65;24.5;5.25;0.173;10;1.02;;;
3;0.998;0.352;0.064;564;8.18;34.3;4.2;0.172;10;1.44;;;
4;1;0.496;0.0934;613;14.4;47.3;3.28;0.173;10;2.03;;;
5;1.01;0.687;0.136;640;25.1;63.5;2.53;0.174;10;2.81;;;
6;1;0.921;0.199;666;42.1;81.8;1.94;0.173;10;3.77;;;
7;1;1.2;0.291;685;66.8;99.4;1.49;0.173;10;4.91;;;
8;1;1.51;0.425;698;98.6;114;1.15;0.173;10;6.16;;;
9;1.01;1.82;0.621;706;133;121;0.907;0.174;10;7.43;;;
10;1;2.11;0.906;711;172;122;0.706;0.173;10;8.63;;;
11;1;2.37;1.32;717;207;115;0.554;0.173;10;9.7;;;
12;1;2.6;1.93;723;238;105;0.444;0.173;10;10.6;;;
13;1;2.8;2.82;730;263;94.5;0.359;0.173;10;11.4;;;
14;1;2.96;4.12;738;284;84.5;0.297;0.173;10;12.1;;;
15;1;3.13;6.02;746;303;76.8;0.253;0.173;10;12.8;;;
16;1;3.31;8.79;752;323;72.8;0.226;0.173;10;13.5;;;
17;1;3.57;12.8;762;350;71.9;0.205;0.173;10;14.6;;;
18;1;4;18.8;770;393;75.3;0.192;0.173;10;16.4;;;
19;1;4.85;27.4;776;477;85.7;0.18;0.173;10;19.8;;;
20;1;6.46;40;782;637;104;0.164;0.173;10;26.4;;;
