Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;-138;10;******;0.1;******;******;******;-23.8;30;40.9;
2;-110;10;******;0.2;******;******;******;-19.1;30;40.9;
3;-106;10;******;0.3;******;******;******;-18.2;30;40.9;
4;-116;10;******;0.4;******;******;******;-20.1;30;40.9;
5;-106;10;******;0.5;******;******;******;-18.4;30;40.9;
6;-110;10;******;0.6;******;******;******;-19;30;40.9;
7;-109;10;******;0.701;******;******;******;-18.9;30;40.9;
8;-107;10;******;0.801;******;******;******;-18.5;30;40.9;
9;-108;10;******;0.901;******;******;******;-18.7;30;40.9;
10;-107;10;******;1;******;******;******;-18.4;30;40.9;
11;-106;10;******;1.1;******;******;******;-18.4;30;40.9;
12;-106;10;******;1.2;******;******;******;-18.3;30;40.9;
13;-105;10;******;1.3;******;******;******;-18.2;30;40.9;
14;-105;10;******;1.4;******;******;******;-18.2;30;40.9;
15;-104;10;******;1.5;******;******;******;-18.1;30;40.9;
16;-104;10;******;1.6;******;******;******;-18;30;40.9;
17;-104;10;******;1.7;******;******;******;-17.9;30;40.9;
18;-103;10;******;1.8;******;******;******;-17.8;30;40.9;
19;-103;10;******;1.9;******;******;******;-17.7;30;40.9;
20;-102;10;******;2;******;******;******;-17.7;30;40.9;
21;-102;10;******;2.1;******;******;******;-17.6;30;40.9;
22;-101;10;******;2.2;******;******;******;-17.5;30;40.9;
23;-101;10;******;2.3;******;******;******;-17.4;30;40.9;
24;-101;10;******;2.4;******;******;******;-17.4;30;40.9;
25;-100;10;******;2.5;******;******;******;-17.3;30;40.9;
26;-99.7;10;******;2.6;******;******;******;-17.2;30;40.9;
27;-99.2;10;******;2.7;******;******;******;-17.1;30;40.9;
28;-98.8;10;******;2.8;******;******;******;-17.1;30;40.9;
29;-98.4;10;******;2.9;******;******;******;-17;30;40.9;
30;-97.9;10;******;3;******;******;******;-16.9;30;40.9;
31;-97.5;10;******;3.1;******;******;******;-16.8;30;40.9;
32;-97;10;******;3.2;******;******;******;-16.8;30;40.9;
33;-96.6;10;******;3.3;******;******;******;-16.7;30;40.9;
34;-96.2;10;******;3.4;******;******;******;-16.6;30;40.9;
35;-95.8;10;******;3.5;******;******;******;-16.5;30;40.9;
36;-95.3;10;******;3.6;******;******;******;-16.5;30;40.9;
37;-94.9;10;******;3.7;******;******;******;-16.4;30;40.9;
38;-94.5;10;******;3.8;******;******;******;-16.3;30;40.9;
39;-94.1;10;******;3.9;******;******;******;-16.3;30;40.9;
40;-93.7;10;******;4;******;******;******;-16.2;30;40.9;
41;-93.3;10;******;4.1;******;******;******;-16.1;30;40.9;
42;-92.9;10;******;4.2;******;******;******;-16.1;30;40.9;
43;-92.5;10;******;4.3;******;******;******;-16;30;40.9;
44;-92;10;******;4.4;******;******;******;-15.9;30;40.9;
45;-91.6;10;******;4.5;******;******;******;-15.8;30;40.9;
46;-91.2;10;******;4.6;******;******;******;-15.8;30;40.9;
