Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.966;2.12;0.01;852;107;191;1.78;0.167;25;8.66;WMa
2;1;2.83;0.0146;1090;163;231;1.41;0.173;25;11.6;
3;1.01;3.56;0.0213;1260;235;264;1.12;0.174;25;14.6;
4;1.01;4.3;0.031;1370;317;284;0.895;0.175;25;17.6;
5;0.999;4.98;0.0452;1450;406;289;0.711;0.173;25;20.3;
6;1.01;5.67;0.0659;1490;489;279;0.571;0.174;25;23.2;
7;1;6.2;0.096;1520;564;258;0.457;0.173;25;25.4;
8;1;6.7;0.14;1540;628;232;0.37;0.173;25;27.4;
9;1;7.14;0.204;1560;683;204;0.299;0.173;25;29.2;
10;0.999;7.48;0.298;1580;727;178;0.244;0.173;25;30.6;
11;0.999;7.78;0.434;1590;764;152;0.199;0.173;25;31.8;
12;1;8.04;0.632;1600;794;130;0.163;0.173;25;32.9;
13;0.998;8.24;0.922;1610;818;110;0.134;0.173;25;33.7;
14;1;8.45;1.34;1620;840;93.2;0.111;0.173;25;34.6;
15;1;8.61;1.96;1620;857;79.7;0.093;0.173;25;35.2;
16;1;8.76;2.86;1630;873;68.4;0.0783;0.173;25;35.8;
17;1;8.92;4.17;1640;890;60.3;0.0677;0.173;25;36.5;
18;1;9.12;6.07;1640;910;53.9;0.0593;0.173;25;37.3;
19;1;9.42;8.85;1650;940;50.1;0.0533;0.173;25;38.5;
20;1;9.96;12.9;1660;995;48.6;0.0488;0.173;25;40.7;
21;1;11.1;18.8;1670;1110;45.7;0.0412;0.173;25;45.4;
22;1;13.4;27.4;1680;1340;38.3;0.0286;0.173;25;54.9;
23;1;18.3;40;1690;1820;31.2;0.0171;0.173;25;74.6;
