Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.967;0.357;0.1;136;16.7;33;1.97;0.167;35;1.46;WMa
2;1;0.48;0.145;161;20.2;43.5;2.15;0.173;35;1.96;
3;1;0.632;0.211;191;25.5;57.5;2.26;0.174;35;2.59;
4;1;0.845;0.308;209;35.9;76.5;2.13;0.173;35;3.46;
5;1;1.13;0.447;222;50.8;101;1.98;0.173;35;4.62;
6;1.01;1.51;0.65;231;74.6;130;1.74;0.174;35;6.18;
7;1.02;1.99;0.946;236;109;161;1.48;0.176;35;8.12;
8;1.01;2.5;1.38;242;158;191;1.21;0.174;35;10.2;
9;1;3.05;2;249;217;214;0.986;0.173;35;12.5;
10;1;3.64;2.91;255;285;226;0.794;0.173;35;14.9;
11;1;4.22;4.23;263;355;228;0.641;0.173;35;17.3;
12;0.999;4.8;6.15;271;427;220;0.515;0.173;35;19.6;
13;1;5.46;8.94;278;505;207;0.41;0.173;35;22.3;
14;1;6.3;13;287;600;190;0.317;0.173;35;25.8;
15;1;7.65;18.9;296;745;174;0.234;0.173;35;31.3;
16;1;10.2;27.5;303;1010;155;0.154;0.173;35;41.6;
17;1;15.1;40;310;1500;130;0.0866;0.173;35;61.6;
