Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.0466;0.141;0.0003;25200;170;250;1.47;0.00805;15;0.576;WMa;
2;0.978;3.88;0.000439;35400;270;291;1.08;0.169;15;15.9;;
3;0.991;4.77;0.000642;40900;367;311;0.848;0.171;15;19.5;;
4;1;5.64;0.00094;44600;458;325;0.709;0.174;15;23.1;;
5;1.01;6.28;0.00138;47200;542;310;0.572;0.174;15;25.7;;
6;0.999;6.84;0.00201;48900;620;291;0.469;0.173;15;28;;
7;1.01;7.41;0.00294;49800;686;264;0.386;0.174;15;30.3;;
8;1;7.81;0.00431;50300;741;239;0.323;0.173;15;31.9;;
9;1;8.18;0.00631;50700;788;214;0.271;0.173;15;33.4;;
10;0.999;8.49;0.00923;51000;829;191;0.23;0.173;15;34.7;;
11;0.996;8.77;0.0135;51200;864;170;0.197;0.172;15;35.9;;
12;0.994;9.01;0.0198;51300;893;154;0.173;0.172;15;36.8;;
13;0.991;9.21;0.0289;51400;919;140;0.152;0.171;15;37.7;;
14;0.99;9.4;0.0423;51500;941;128;0.136;0.171;15;38.4;;
15;0.994;9.6;0.0619;51500;959;118;0.123;0.172;15;39.3;;
16;0.993;9.73;0.0906;51600;974;107;0.11;0.172;15;39.8;;
17;1;9.97;0.133;51600;987;101;0.102;0.174;15;40.8;;
18;0.992;9.98;0.194;51600;1000;95.2;0.095;0.171;15;40.8;;
19;1;10.2;0.284;51600;1010;94.1;0.0927;0.173;15;41.7;;
20;0.99;10.2;0.415;51700;1020;88.4;0.0863;0.171;15;41.6;;
21;0.996;10.4;0.607;51700;1040;87.7;0.0848;0.172;15;42.3;;
22;0.998;10.4;0.889;51700;1040;84.1;0.0806;0.173;15;42.7;;
23;0.994;10.5;1.3;51700;1050;85.3;0.0809;0.172;15;43;;
24;0.998;10.7;1.9;51700;1070;85.4;0.0802;0.172;15;43.6;;
25;1;10.8;2.78;51700;1080;87.5;0.0814;0.173;15;44.2;;
26;1;10.9;4.08;51700;1090;88.7;0.0816;0.173;15;44.7;;
27;1;11;5.96;51700;1100;86.4;0.0789;0.173;15;45;;
28;1;11.1;8.73;51700;1100;90.7;0.0821;0.173;15;45.3;;
29;1;11.1;12.8;51700;1110;93.9;0.0847;0.173;15;45.5;;
30;1;11.2;18.7;51700;1110;99.2;0.0891;0.173;15;45.7;;
31;1;11.1;27.3;51700;1110;102;0.0918;0.173;15;45.5;;
32;1;10.8;40;51800;1080;91.3;0.0845;0.173;15;44.4;;
