Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;1;6.49;10;9.24;641;101;0.157;0.173;30;26.5;;
2;1.26;8.15;10;17.1;639;101;0.158;0.218;30;33.3;;
3;1.58;10.2;10;25;638;101;0.158;0.272;30;41.6;;
4;2;12.9;10;32.9;638;101;0.158;0.346;30;52.8;;
5;2.51;16.2;10;40.8;638;101;0.158;0.434;30;66.3;;
6;3.16;20.5;10;48;638;100;0.157;0.547;30;83.6;;
7;3.98;25.8;10;55.3;639;100;0.157;0.688;30;105;;
8;5.01;32.5;10;62.5;641;100;0.156;0.866;30;133;;
9;6.31;41;10;69.8;642;99.9;0.156;1.09;30;167;;
10;7.95;51.6;10;77;641;99.9;0.156;1.37;30;211;;
11;10;65;10;84.3;642;100;0.156;1.73;30;266;;
