Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.826;100;******;0.011;******;******;******;0.143;30;409;
2;3.21;100;******;0.021;******;******;******;0.555;30;409;
3;7.8;100;******;0.031;******;******;******;1.35;30;409;
4;13.8;100;******;0.041;******;******;******;2.38;30;409;
5;20.3;100;******;0.051;******;******;******;3.51;30;409;
6;26.4;100;******;0.061;******;******;******;4.56;30;409;
7;31.3;100;******;0.071;******;******;******;5.4;30;409;
8;34.4;100;******;0.081;******;******;******;5.94;30;409;
9;35.4;100;******;0.09;******;******;******;6.12;30;409;
10;34.6;100;******;0.1;******;******;******;5.98;30;409;
11;32.3;100;******;0.11;******;******;******;5.58;30;409;
12;28.9;100;******;0.12;******;******;******;5;30;409;
13;25.5;100;******;0.13;******;******;******;4.41;30;409;
14;22.5;100;******;0.14;******;******;******;3.88;30;409;
15;20.5;100;******;0.15;******;******;******;3.54;30;409;
16;19.8;100;******;0.161;******;******;******;3.42;30;409;
17;20.5;100;******;0.171;******;******;******;3.54;30;409;
18;22.4;100;******;0.181;******;******;******;3.87;30;409;
19;25.4;100;******;0.191;******;******;******;4.4;30;409;
20;28.9;100;******;0.201;******;******;******;5;30;409;
21;32.6;100;******;0.211;******;******;******;5.63;30;409;
22;35.7;100;******;0.221;******;******;******;6.17;30;409;
23;38;100;******;0.231;******;******;******;6.58;30;409;
24;39.4;100;******;0.241;******;******;******;6.81;30;409;
25;39.7;100;******;0.251;******;******;******;6.86;30;409;
26;39;100;******;0.261;******;******;******;6.73;30;409;
27;37.6;100;******;0.271;******;******;******;6.49;30;409;
28;35.9;100;******;0.281;******;******;******;6.21;30;409;
29;34.3;100;******;0.291;******;******;******;5.93;30;409;
30;33.1;100;******;0.3;******;******;******;5.73;30;409;
31;32.6;100;******;0.31;******;******;******;5.63;30;409;
32;32.7;100;******;0.32;******;******;******;5.66;30;409;
