Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;1;11.1;10;7.98;1100;88.5;0.0802;0.173;15;45.3;;
2;1.26;13.9;10;15.9;1100;81.6;0.0742;0.218;15;57;;
3;1.58;17.5;10;23.8;1100;79.4;0.0722;0.274;15;71.4;;
4;2;22;10;31.6;1100;76.5;0.0696;0.345;15;89.9;;
5;2.51;27.6;10;39.5;1100;73.7;0.0672;0.434;15;113;;
6;3.16;34.7;10;48.1;1100;72.2;0.066;0.546;15;142;;
7;3.98;43.7;10;55.9;1090;71.1;0.065;0.688;15;179;;
8;5.01;54.8;10;63.8;1090;70.4;0.0646;0.866;15;224;;
9;6.3;68.4;10;71.7;1080;74.2;0.0686;1.09;15;280;;
10;7.93;84.8;10;79.6;1070;83.1;0.078;1.37;15;347;;
11;9.99;105;10;87.5;1050;95.2;0.091;1.73;15;430;;
12;12.6;131;10;95.4;1040;112;0.108;2.17;15;537;;
13;15.8;165;10;103;1030;138;0.133;2.74;15;675;;
14;19.9;208;10;111;1030;173;0.169;3.44;15;849;;
15;25.1;261;10;119;1020;226;0.223;4.34;15;1070;;
16;31.6;328;10;128;996;296;0.297;5.46;15;1340;;
17;39.8;413;10;136;974;363;0.373;6.88;15;1690;;
18;50.1;512;10;144;921;444;0.482;8.65;15;2090;;
19;63;611;10;152;819;520;0.635;10.9;15;2500;;
20;79.3;699;10;159;678;563;0.831;13.7;15;2860;;
21;99.8;779;10;166;536;567;1.06;17.3;15;3180;;
