Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.943;1.31;0.1;136;60.8;124;2.05;0.163;30;5.34;WMa;
2;1;1.8;0.145;168;94.7;153;1.61;0.173;30;7.37;;
3;1;2.28;0.211;193;139;180;1.29;0.173;30;9.32;;
4;1;2.79;0.308;211;193;200;1.04;0.173;30;11.4;;
5;0.999;3.3;0.447;221;252;214;0.849;0.173;30;13.5;;
6;1;3.84;0.65;228;315;218;0.694;0.173;30;15.7;;
7;1;4.32;0.946;233;375;215;0.573;0.173;30;17.7;;
8;0.999;4.79;1.38;239;434;205;0.472;0.173;30;19.6;;
9;1;5.25;2;245;488;189;0.387;0.173;30;21.5;;
10;1;5.62;2.91;252;535;169;0.316;0.173;30;23;;
11;1;5.94;4.23;260;575;147;0.256;0.173;30;24.3;;
12;1;6.2;6.15;266;608;125;0.206;0.173;30;25.4;;
13;1;6.43;8.94;274;635;106;0.167;0.173;30;26.3;;
14;1;6.67;13;284;661;87.2;0.132;0.173;30;27.3;;
15;1;6.95;18.9;292;691;73;0.106;0.173;30;28.4;;
16;1;7.54;27.5;300;751;57.6;0.0767;0.173;30;30.8;;
17;1;8.33;40;306;832;31.8;0.0382;0.173;30;34.1;;
