Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;1;0.277;1;13.7;11.3;25.2;2.23;0.173;39.9;1.13;;
2;0.996;0.367;1.45;22.7;15.1;33.6;2.23;0.172;39.9;1.5;;
3;1;0.48;2.09;28.5;20.4;43.4;2.13;0.173;39.9;1.96;;
4;0.996;0.646;3.02;35.8;28.7;58.2;2.03;0.172;39.9;2.64;;
5;0.999;0.846;4.37;43.6;41.4;73.9;1.79;0.173;39.9;3.46;;
6;1;1.04;6.32;51.1;54;89.3;1.65;0.173;39.9;4.27;;
7;1;1.24;9.15;57.6;67.9;104;1.53;0.173;39.9;5.08;;
8;1;1.4;13.2;64.5;81.9;114;1.39;0.173;39.9;5.73;;
9;1;1.42;19.1;70.8;82.2;116;1.41;0.173;40;5.81;;
10;1;1.2;27.7;76.9;47.6;110;2.31;0.173;40;4.91;;
11;1;1.03;40;82.4;0;103;1 000 000 000 000 000 000 000 000 000 000;0.173;40;4.22;ME-.taD;
