Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;1;6.44;10;8.49;636;102;0.16;0.173;30;26.3;
2;1.26;8.1;10;16.4;635;102;0.16;0.218;30;33.1;
3;1.58;10.2;10;24.3;635;102;0.16;0.274;30;41.7;
4;1.99;12.8;10;32.1;636;101;0.159;0.344;30;52.4;
5;2.51;16.2;10;40;637;101;0.158;0.434;30;66.3;
6;3.16;20.4;10;47.3;639;101;0.157;0.546;30;83.6;
7;3.98;25.8;10;54.5;641;100;0.156;0.688;30;106;
8;5.01;32.6;10;62.4;643;100;0.155;0.866;30;133;
9;6.31;41.1;10;70.3;644;99.9;0.155;1.09;30;168;
10;7.95;51.8;10;77.6;643;100;0.156;1.37;30;212;
11;10;65.1;10;84.8;644;100;0.156;1.73;30;266;
12;12.6;82.5;10;92.1;647;100;0.155;2.18;30;337;
13;15.9;104;10;99.3;651;100;0.154;2.74;30;427;
14;19.9;133;10;107;656;106;0.162;3.45;30;542;
15;25.1;168;10;114;657;135;0.205;4.34;30;688;
16;31.6;214;10;121;657;171;0.261;5.46;30;877;
17;39.8;272;10;129;643;229;0.356;6.87;30;1110;
18;50.1;337;10;137;608;287;0.473;8.65;30;1380;
19;63;415;10;144;565;338;0.598;10.9;30;1700;
20;79.4;506;10;151;513;379;0.737;13.7;30;2070;
21;99.9;596;10;158;441;402;0.91;17.3;30;2440;
