Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;10;0.37;0.1;136;1.35;3.45;2.55;1.73;40;1.51;WMa;
2;9.99;0.485;0.145;154;1.58;4.59;2.91;1.73;40;1.98;;
3;10;0.646;0.211;174;1.85;6.16;3.32;1.74;40;2.64;;
4;10;0.878;0.308;191;2.57;8.39;3.27;1.73;40;3.59;;
5;10.1;1.16;0.447;201;3.36;11;3.28;1.74;40;4.73;;
6;10;1.55;0.65;208;4.21;14.9;3.53;1.73;40;6.34;;
7;10;2.08;0.946;214;5.93;19.8;3.34;1.73;40;8.49;;
8;10;2.81;1.38;220;8.46;26.7;3.16;1.73;40;11.5;;
9;10;3.81;2;225;12.5;36;2.87;1.73;40;15.6;;
10;10;5.15;2.91;232;19.3;47.8;2.47;1.73;40;21.1;;
11;10;6.89;4.23;239;30.1;62;2.06;1.73;40;28.2;;
12;10;9.02;6.15;245;46.4;77.3;1.67;1.73;40;36.9;;
13;10;11.4;8.94;251;68.5;91.3;1.33;1.73;40;46.7;;
14;10;13.8;13;258;95.2;100;1.05;1.73;40;56.6;;
15;10;15.9;18.9;264;122;101;0.831;1.73;40;64.9;;
16;10;17.8;27.5;270;151;94.5;0.625;1.73;40;72.9;;
17;10;17.3;40;276;147;91.8;0.627;1.73;40;70.7;;
