Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;1;3.04;0.003;2430;183;242;1.33;0.173;20;12.4;
2;0.985;3.71;0.00439;3230;259;273;1.05;0.17;20;15.2;
3;1.01;4.56;0.00641;3780;346;291;0.843;0.174;20;18.6;
4;0.995;5.22;0.00938;4150;433;295;0.681;0.172;20;21.3;
5;1.01;5.97;0.0137;4330;518;286;0.552;0.174;20;24.4;
6;1;6.53;0.02;4460;595;268;0.451;0.173;20;26.7;
7;1;7.08;0.0293;4550;663;246;0.371;0.173;20;29;
8;0.998;7.53;0.0429;4600;721;219;0.304;0.173;20;30.8;
9;0.998;7.93;0.0627;4640;771;194;0.251;0.172;20;32.4;
10;1;8.31;0.0916;4680;813;169;0.208;0.173;20;34;
11;0.994;8.56;0.134;4710;849;148;0.174;0.172;20;35;
12;1;8.9;0.196;4740;879;128;0.146;0.173;20;36.4;
13;0.995;9.08;0.286;4760;906;110;0.122;0.172;20;37.1;
14;1;9.33;0.419;4770;927;96;0.104;0.173;20;38.2;
15;0.996;9.45;0.612;4780;945;83.4;0.0883;0.172;20;38.7;
16;0.997;9.61;0.896;4790;961;74.1;0.0771;0.172;20;39.3;
17;1;9.77;1.31;4790;974;65.5;0.0673;0.173;20;39.9;
18;1;9.89;1.91;4800;986;60.6;0.0614;0.173;20;40.4;
19;1;10;2.8;4810;999;55.3;0.0554;0.173;20;40.9;
20;1;10.1;4.09;4820;1010;53.9;0.0534;0.173;20;41.4;
21;1;10.2;5.99;4820;1020;52;0.0509;0.173;20;41.8;
22;1;10.3;8.75;4830;1030;52.7;0.0511;0.173;20;42.2;
23;1;10.5;12.8;4840;1050;57.3;0.0548;0.173;20;42.9;
24;1;10.6;18.7;4850;1060;56.1;0.0528;0.173;20;43.5;
25;1;11;27.4;4860;1090;53.1;0.0486;0.173;20;44.8;
26;1;11.4;40;4860;1130;47.1;0.0415;0.173;20;46.4;
