Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.996;0.0151;0.1;50.4;1.33;0.728;0.546;0.172;20;0.0619;
2;0.998;0.0164;0.145;68.3;1.4;0.873;0.625;0.172;20;0.0673;
3;0.998;0.019;0.211;88.2;1.47;1.21;0.82;0.173;20;0.0778;
4;0.998;0.0233;0.308;102;1.66;1.65;0.997;0.172;20;0.0955;
5;1;0.0278;0.447;112;1.79;2.12;1.19;0.173;20;0.114;
6;0.999;0.0421;0.65;119;3.26;2.66;0.816;0.173;20;0.172;
7;1;0.0484;0.946;125;2.72;3.99;1.46;0.173;20;0.198;
8;1;0.066;1.38;131;3.68;5.46;1.48;0.173;20;0.27;
9;1.01;0.0781;2;136;4.08;6.61;1.62;0.174;20;0.319;
10;1;0.148;2.91;143;10.3;10.6;1.04;0.173;20;0.604;
11;1;0.231;4.23;150;17.8;14.7;0.821;0.173;20;0.944;
12;1;0.39;6.15;156;34.1;18.8;0.553;0.173;20;1.59;
13;1;0.701;8.94;162;65.5;24.9;0.38;0.173;20;2.87;
14;1;1.35;13;170;132;28.3;0.215;0.173;20;5.51;
15;1;2.68;18.9;177;265;34.2;0.129;0.173;20;11;
16;1;5.39;27.5;184;537;39.3;0.073;0.173;20;22;
17;1;11.1;40;190;1110;50.4;0.0454;0.173;20;45.4;
