Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.999;0.0113;0.1;126;0.866;0.726;0.839;0.173;20;0.0462;;
2;1;0.0137;0.145;143;0.949;0.98;1.03;0.173;20;0.0558;;
3;1;0.0163;0.211;163;1;1.29;1.28;0.173;20;0.0667;;
4;1;0.0207;0.308;177;1.12;1.74;1.55;0.173;20;0.0846;;
5;1;0.0261;0.447;187;1.18;2.32;1.96;0.173;20;0.107;;
6;1;0.0357;0.65;195;1.36;3.3;2.43;0.173;20;0.146;;
7;1;0.0483;0.946;200;1.68;4.52;2.69;0.173;20;0.198;;
8;1;0.0752;1.38;206;1.96;7.26;3.7;0.173;20;0.308;;
9;1;0.0899;2;212;2.59;8.59;3.32;0.173;20;0.368;;
10;0.997;0.123;2.91;217;3.59;11.8;3.3;0.172;20;0.505;;
11;0.999;0.163;4.23;224;4.59;15.7;3.41;0.173;20;0.667;;
12;1;0.216;6.15;230;5.68;20.8;3.66;0.173;20;0.882;;
13;1;0.263;8.94;236;5.71;25.7;4.5;0.173;20;1.08;;
14;0.999;0.302;13;243;2.61;30.1;11.6;0.173;20;1.24;;
15;1;0.356;18.9;249;0;35.6;1 000 000 000 000 000 000 000 000 000 000;0.173;20;1.45;ME-.taD;
16;1;0.581;27.5;255;0;58.1;1 000 000 000 000 000 000 000 000 000 000;0.173;20;2.38;ME-.taD;
17;1;1.28;40;261;0;128;1 000 000 000 000 000 000 000 000 000 000;0.173;20;5.24;ME-.taD;
