Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.0997;0.0376;10;20.9;37.6;2.83;0.0753;0.0172;25;0.154;;
2;0.126;0.0471;10;27.5;36.4;8.09;0.222;0.0218;25;0.192;;
3;0.158;0.0635;10;34.1;39.3;7.96;0.202;0.0273;25;0.26;;
4;0.2;0.0859;10;40.8;42.6;6.01;0.141;0.0345;25;0.351;;
5;0.251;0.102;10;47.4;40.2;5.74;0.143;0.0434;25;0.417;;
6;0.316;0.135;10;54;42.3;4.85;0.115;0.0547;25;0.551;;
7;0.399;0.176;10;60.6;43.8;5.8;0.133;0.0689;25;0.72;;
8;0.501;0.215;10;67.2;42.5;6.02;0.142;0.0866;25;0.879;;
9;0.631;0.265;10;73.8;41.7;5.57;0.133;0.109;25;1.09;;
10;0.794;0.322;10;80.5;40.2;5.08;0.127;0.137;25;1.32;;
11;0.999;0.399;10;87.1;39.5;5.76;0.146;0.173;25;1.63;;
12;1.26;0.499;10;93.7;39.4;4.48;0.114;0.218;25;2.04;;
13;1.59;0.594;10;100;37.1;4.85;0.131;0.274;25;2.43;;
14;2;0.658;10;107;32.6;4.62;0.142;0.345;25;2.69;;
15;2.51;0.685;10;113;26.9;4.56;0.17;0.434;25;2.8;;
16;3.16;0.633;10;119;19.5;4.36;0.223;0.547;25;2.59;;
17;3.98;0.46;10;125;10.6;4.5;0.423;0.687;25;1.88;;
18;5.01;0.262;10;131;2.43;4.62;1.9;0.866;25;1.07;;
19;6.31;0.288;10;137;0;4.57;1 000 000 000 000 000 000 000 000 000 000;1.09;25;1.18;ME-.taD;
20;7.94;0.411;10;143;2.42;4.57;1.89;1.37;25;1.68;;
21;10;0.616;10;149;4.2;4.52;1.08;1.73;25;2.52;;
22;12.6;0.569;10;155;0.356;4.51;12.7;2.18;25;2.33;;
23;15.8;0.811;10;161;2.46;4.49;1.82;2.74;25;3.32;;
24;20;0.94;10;167;1.74;4.38;2.52;3.45;25;3.84;;
25;25.1;1.25;10;173;2.42;4.33;1.79;4.34;25;5.1;;
26;31.6;1.64;10;179;2.91;4.29;1.47;5.47;25;6.7;;
27;39.8;1.83;10;185;1.82;4.21;2.31;6.88;25;7.46;;
28;50.1;2.19;10;191;1.32;4.16;3.14;8.66;25;8.94;;
29;63.1;2.73;10;197;1.45;4.07;2.8;10.9;25;11.2;;
30;79.4;3.51;10;203;0;4.42;1 000 000 000 000 000 000 000 000 000 000;13.7;25;14.4;ME-.taD;
31;100;4.38;10;209;0;4.38;1 000 000 000 000 000 000 000 000 000 000;17.3;25;17.9;ME-.taD;
