Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.999;0.00763;0.1;50.6;0.541;0.539;0.995;0.173;20;0.0312;;
2;0.997;0.0094;0.145;68.4;0.592;0.735;1.24;0.172;20;0.0385;;
3;1;0.0117;0.211;88.4;0.636;0.975;1.53;0.173;20;0.0476;;
4;1;0.0153;0.308;102;0.691;1.36;1.97;0.173;20;0.0625;;
5;1;0.0199;0.447;112;0.633;1.89;2.98;0.173;20;0.0814;;
6;1;0.026;0.65;120;0.617;2.52;4.09;0.173;20;0.106;;
7;1;0.0365;0.946;125;0.714;3.58;5.01;0.173;20;0.149;;
8;1;0.0535;1.38;131;0.463;5.32;11.5;0.173;20;0.219;;
9;0.999;0.0758;2;137;0.0902;7.58;84.1;0.173;20;0.31;;
10;0.998;0.105;2.91;142;0;10.6;1 000 000 000 000 000 000 000 000 000 000;0.172;20;0.431;ME-.taD;
11;0.998;0.151;4.23;149;0;15.2;1 000 000 000 000 000 000 000 000 000 000;0.172;20;0.62;ME-.taD;
12;0.999;0.226;6.15;155;0;22.6;1 000 000 000 000 000 000 000 000 000 000;0.173;20;0.923;ME-.taD;
13;1;0.37;8.94;162;0;37;1 000 000 000 000 000 000 000 000 000 000;0.173;20;1.51;ME-.taD;
14;1;0.689;13;169;0;68.9;1 000 000 000 000 000 000 000 000 000 000;0.173;20;2.82;ME-.taD;
15;0.999;1.48;18.9;176;0;148;1 000 000 000 000 000 000 000 000 000 000;0.173;20;6.06;ME-.taD;
16;1;3.18;27.5;183;0;318;1 000 000 000 000 000 000 000 000 000 000;0.173;20;13;ME-.taD;
17;1;7.06;40;189;0;706;1 000 000 000 000 000 000 000 000 000 000;0.173;20;28.9;ME-.taD;
