Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status;
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[];
1;0.997;0.00882;0.1;125;0.63;0.621;0.985;0.172;20;0.0361;;
2;0.998;0.0107;0.145;143;0.68;0.83;1.22;0.172;20;0.0438;;
3;1;0.0135;0.211;163;0.739;1.13;1.53;0.173;20;0.0552;;
4;1;0.0174;0.308;177;0.813;1.54;1.89;0.173;20;0.0712;;
5;1;0.0239;0.447;187;0.875;2.23;2.55;0.173;20;0.0979;;
6;1;0.0257;0.65;194;0;2.56;1 000 000 000 000 000 000 000 000 000 000;0.174;20;0.105;ME-.taD;
7;1;0.0419;0.946;200;1.07;4.04;3.77;0.173;20;0.171;;
8;1;0.0575;1.38;211;0.988;5.65;5.72;0.173;20;0.235;;
9;0.998;0.0803;2;217;1.4;7.93;5.65;0.172;20;0.328;;
10;1;0.109;2.91;224;1.79;10.7;6;0.173;20;0.445;;
11;0.998;0.152;4.23;231;3.02;14.9;4.93;0.173;20;0.621;;
12;0.999;0.198;6.15;237;3.91;19.5;4.99;0.173;20;0.812;;
13;1;0.244;8.94;243;4.21;24.1;5.72;0.173;20;1;;
14;1;0.317;13;249;2.92;31.5;10.8;0.173;20;1.29;;
15;1;0.353;18.9;256;0;35.3;1 000 000 000 000 000 000 000 000 000 000;0.173;20;1.44;ME-.taD;
16;1;0.589;27.5;262;0;58.9;1 000 000 000 000 000 000 000 000 000 000;0.173;20;2.41;ME-.taD;
17;1;1.15;40;267;0;114;1 000 000 000 000 000 000 000 000 000 000;0.173;20;4.68;ME-.taD;
