Meas. Pts.;Strain;Shear Stress;Frequency;Interval Time;Storage Modulus;Loss Modulus;Damping Factor;Deflection Angle;Temperature;Torque;Status
;[%];[Pa];[Hz];[s];[Pa];[Pa];[1];[mrad];[°C];[µNm];[]
1;0.0803;10;******;0.011;******;******;******;0.0139;30;40.9;
2;0.313;10;******;0.021;******;******;******;0.0542;30;40.9;
3;0.776;10;******;0.031;******;******;******;0.134;30;40.9;
4;1.37;10;******;0.041;******;******;******;0.236;30;40.9;
5;2;10;******;0.051;******;******;******;0.346;30;40.9;
6;2.61;10;******;0.061;******;******;******;0.451;30;40.9;
7;3.11;10;******;0.071;******;******;******;0.538;30;40.9;
8;3.47;10;******;0.081;******;******;******;0.6;30;40.9;
9;3.65;10;******;0.09;******;******;******;0.63;30;40.9;
10;3.65;10;******;0.1;******;******;******;0.63;30;40.9;
11;3.49;10;******;0.11;******;******;******;0.603;30;40.9;
12;3.23;10;******;0.12;******;******;******;0.558;30;40.9;
13;2.91;10;******;0.13;******;******;******;0.502;30;40.9;
14;2.6;10;******;0.14;******;******;******;0.45;30;40.9;
15;2.35;10;******;0.15;******;******;******;0.406;30;40.9;
16;2.2;10;******;0.161;******;******;******;0.381;30;40.9;
17;2.17;10;******;0.171;******;******;******;0.375;30;40.9;
18;2.27;10;******;0.181;******;******;******;0.393;30;40.9;
19;2.48;10;******;0.191;******;******;******;0.428;30;40.9;
20;2.77;10;******;0.201;******;******;******;0.479;30;40.9;
21;3.1;10;******;0.211;******;******;******;0.536;30;40.9;
22;3.43;10;******;0.221;******;******;******;0.593;30;40.9;
23;3.73;10;******;0.231;******;******;******;0.645;30;40.9;
24;3.96;10;******;0.241;******;******;******;0.685;30;40.9;
25;4.11;10;******;0.251;******;******;******;0.71;30;40.9;
26;4.16;10;******;0.261;******;******;******;0.718;30;40.9;
27;4.13;10;******;0.271;******;******;******;0.713;30;40.9;
28;4.03;10;******;0.281;******;******;******;0.696;30;40.9;
29;3.9;10;******;0.291;******;******;******;0.674;30;40.9;
30;3.76;10;******;0.3;******;******;******;0.649;30;40.9;
31;3.64;10;******;0.31;******;******;******;0.63;30;40.9;
32;3.57;10;******;0.32;******;******;******;0.617;30;40.9;
33;3.56;10;******;0.33;******;******;******;0.615;30;40.9;
