# concentration (uM) 	 Tm (C)
3.000000E+00	6.844473E+00
6.000000E+00	6.856512E+00
1.500000E+01	6.892331E+00
3.000000E+01	6.951064E+00
6.000000E+01	7.065115E+00
1.500000E+02	7.383423E+00
3.000000E+02	7.851779E+00
6.000000E+02	8.740209E+00
1.500000E+03	1.071612E+01
1.800000E+03	1.125222E+01
2.400000E+03	1.219081E+01
3.000000E+03	1.304229E+01
4.500000E+03	1.478505E+01
