# concentration (uM) 	 Tm (C)
3.000000E+00	3.922988E+01
6.000000E+00	4.199569E+01
1.500000E+01	4.566398E+01
3.000000E+01	4.848973E+01
6.000000E+01	5.136376E+01
1.500000E+02	5.528030E+01
3.000000E+02	5.836184E+01
6.000000E+02	6.156924E+01
1.500000E+03	6.610205E+01
1.800000E+03	6.705489E+01
2.400000E+03	6.860438E+01
3.000000E+03	6.984452E+01
4.500000E+03	7.222112E+01
