# concentration (uM) 	 Tm (C)
3.000000E+00	6.311257E+00
6.000000E+00	7.599604E+00
1.500000E+01	1.001380E+01
3.000000E+01	1.245880E+01
6.000000E+01	1.540384E+01
1.500000E+02	2.007091E+01
3.000000E+02	2.417699E+01
6.000000E+02	2.876117E+01
1.500000E+03	3.555012E+01
1.800000E+03	3.700372E+01
2.400000E+03	3.936712E+01
3.000000E+03	4.126284E+01
4.500000E+03	4.485342E+01
