# temperature	SE	SE+SE
0.000000E+00	5.558715E-07	8.997221E-04
2.000000E+00	6.910228E-07	8.996545E-04
4.000000E+00	8.587381E-07	8.995706E-04
6.000000E+00	1.067237E-06	8.994664E-04
8.000000E+00	1.327028E-06	8.993365E-04
1.000000E+01	1.651606E-06	8.991742E-04
1.200000E+01	2.058377E-06	8.989708E-04
1.400000E+01	2.569860E-06	8.987151E-04
1.600000E+01	3.215270E-06	8.983924E-04
1.800000E+01	4.032564E-06	8.979837E-04
2.000000E+01	5.071090E-06	8.974645E-04
2.200000E+01	6.394982E-06	8.968025E-04
2.400000E+01	8.087475E-06	8.959563E-04
2.600000E+01	1.025634E-05	8.948718E-04
2.800000E+01	1.304065E-05	8.934797E-04
3.000000E+01	1.661903E-05	8.916905E-04
3.200000E+01	2.121965E-05	8.893902E-04
3.400000E+01	2.713193E-05	8.864340E-04
3.600000E+01	3.471986E-05	8.826401E-04
3.800000E+01	4.443660E-05	8.777817E-04
4.000000E+01	5.683936E-05	8.715803E-04
4.200000E+01	7.260304E-05	8.636985E-04
4.400000E+01	9.252999E-05	8.537350E-04
4.600000E+01	1.175520E-04	8.412240E-04
4.800000E+01	1.487192E-04	8.256404E-04
5.000000E+01	1.871683E-04	8.064158E-04
5.200000E+01	2.340627E-04	7.829686E-04
5.400000E+01	2.904954E-04	7.547523E-04
5.600000E+01	3.573495E-04	7.213253E-04
5.800000E+01	4.351175E-04	6.824412E-04
6.000000E+01	5.236935E-04	6.381533E-04
6.200000E+01	6.221699E-04	5.889150E-04
6.400000E+01	7.286954E-04	5.356523E-04
6.600000E+01	8.404598E-04	4.797701E-04
6.800000E+01	9.538710E-04	4.230645E-04
7.000000E+01	1.064942E-03	3.675290E-04
7.200000E+01	1.169831E-03	3.150843E-04
7.400000E+01	1.265397E-03	2.673014E-04
7.600000E+01	1.349597E-03	2.252015E-04
7.800000E+01	1.421616E-03	1.891922E-04
8.000000E+01	1.481721E-03	1.591395E-04
8.200000E+01	1.530946E-03	1.345271E-04
8.400000E+01	1.570732E-03	1.146338E-04
8.600000E+01	1.602635E-03	9.868271E-05
8.800000E+01	1.628124E-03	8.593795E-05
9.000000E+01	1.648488E-03	7.575577E-05
9.200000E+01	1.664799E-03	6.760054E-05
9.400000E+01	1.677918E-03	6.104103E-05
9.600000E+01	1.688525E-03	5.573727E-05
9.800000E+01	1.697151E-03	5.142460E-05
