# temperature	SE	SE+SE
0.000000E+00	3.201247E-08	2.983994E-06
2.000000E+00	3.977141E-08	2.980114E-06
4.000000E+00	4.938658E-08	2.975307E-06
6.000000E+00	6.131948E-08	2.969340E-06
8.000000E+00	7.615628E-08	2.961922E-06
1.000000E+01	9.464390E-08	2.952678E-06
1.200000E+01	1.177360E-07	2.941132E-06
1.400000E+01	1.466512E-07	2.926674E-06
1.600000E+01	1.829452E-07	2.908527E-06
1.800000E+01	2.285982E-07	2.885701E-06
2.000000E+01	2.861168E-07	2.856942E-06
2.200000E+01	3.586473E-07	2.820676E-06
2.400000E+01	4.500881E-07	2.774956E-06
2.600000E+01	5.651835E-07	2.717408E-06
2.800000E+01	7.095578E-07	2.645221E-06
3.000000E+01	8.896306E-07	2.555185E-06
3.200000E+01	1.112317E-06	2.443841E-06
3.400000E+01	1.384386E-06	2.307807E-06
3.600000E+01	1.711326E-06	2.144337E-06
3.800000E+01	2.095605E-06	1.952197E-06
4.000000E+01	2.534377E-06	1.732812E-06
4.200000E+01	3.017046E-06	1.491477E-06
4.400000E+01	3.523741E-06	1.238129E-06
4.600000E+01	4.026271E-06	9.868643E-07
4.800000E+01	4.492904E-06	7.535480E-07
5.000000E+01	4.896284E-06	5.518581E-07
5.200000E+01	5.220890E-06	3.895551E-07
5.400000E+01	5.465636E-06	2.671820E-07
5.600000E+01	5.640565E-06	1.797174E-07
5.800000E+01	5.760756E-06	1.196220E-07
6.000000E+01	5.841216E-06	7.939209E-08
6.200000E+01	5.894287E-06	5.285636E-08
6.400000E+01	5.929076E-06	3.546213E-08
6.600000E+01	5.951879E-06	2.406065E-08
6.800000E+01	5.966890E-06	1.655478E-08
7.000000E+01	5.976847E-06	1.157667E-08
7.200000E+01	5.983514E-06	8.243141E-09
7.400000E+01	5.988029E-06	5.985703E-09
7.600000E+01	5.991124E-06	4.437922E-09
7.800000E+01	5.993275E-06	3.362538E-09
8.000000E+01	5.994790E-06	2.604913E-09
8.200000E+01	5.995873E-06	2.063454E-09
8.400000E+01	5.996658E-06	1.670810E-09
8.600000E+01	5.997236E-06	1.381893E-09
8.800000E+01	5.997668E-06	1.166205E-09
9.000000E+01	5.997994E-06	1.002896E-09
9.200000E+01	5.998245E-06	8.775563E-10
9.400000E+01	5.998440E-06	7.801121E-10
9.600000E+01	5.998593E-06	7.034436E-10
9.800000E+01	5.998715E-06	6.424606E-10
