# temperature	SE	SE+SE
0.000000E+00	3.208963E-07	2.998396E-04
2.000000E+00	3.989061E-07	2.998005E-04
4.000000E+00	4.957061E-07	2.997521E-04
6.000000E+00	6.160359E-07	2.996920E-04
8.000000E+00	7.659531E-07	2.996170E-04
1.000000E+01	9.532349E-07	2.995234E-04
1.200000E+01	1.187907E-06	2.994060E-04
1.400000E+01	1.482934E-06	2.992585E-04
1.600000E+01	1.855123E-06	2.990724E-04
1.800000E+01	2.326292E-06	2.988369E-04
2.000000E+01	2.924774E-06	2.985376E-04
2.200000E+01	3.687338E-06	2.981563E-04
2.400000E+01	4.661616E-06	2.976692E-04
2.600000E+01	5.909129E-06	2.970454E-04
2.800000E+01	7.509010E-06	2.962455E-04
3.000000E+01	9.562480E-06	2.952188E-04
3.200000E+01	1.219811E-05	2.939009E-04
3.400000E+01	1.557779E-05	2.922111E-04
3.600000E+01	1.990313E-05	2.900484E-04
3.800000E+01	2.542185E-05	2.872891E-04
4.000000E+01	3.243314E-05	2.837834E-04
4.200000E+01	4.129065E-05	2.793547E-04
4.400000E+01	5.240074E-05	2.737996E-04
4.600000E+01	6.621301E-05	2.668935E-04
4.800000E+01	8.319904E-05	2.584005E-04
5.000000E+01	1.038149E-04	2.480925E-04
5.200000E+01	1.284435E-04	2.357783E-04
5.400000E+01	1.573148E-04	2.213426E-04
5.600000E+01	1.904091E-04	2.047954E-04
5.800000E+01	2.273558E-04	1.863221E-04
6.000000E+01	2.673558E-04	1.663221E-04
6.200000E+01	3.091653E-04	1.454173E-04
6.400000E+01	3.511812E-04	1.244094E-04
6.600000E+01	3.916426E-04	1.041787E-04
6.800000E+01	4.289177E-04	8.554116E-05
7.000000E+01	4.617862E-04	6.910691E-05
7.200000E+01	4.896133E-04	5.519333E-05
7.400000E+01	5.123562E-04	4.382192E-05
7.600000E+01	5.304265E-04	3.478673E-05
7.800000E+01	5.444924E-04	2.775380E-05
8.000000E+01	5.552980E-04	2.235102E-05
8.200000E+01	5.635435E-04	1.822824E-05
8.400000E+01	5.698266E-04	1.508669E-05
8.600000E+01	5.746269E-04	1.268656E-05
8.800000E+01	5.783146E-04	1.084272E-05
9.000000E+01	5.811688E-04	9.415610E-06
9.200000E+01	5.833971E-04	8.301471E-06
9.400000E+01	5.851527E-04	7.423672E-06
9.600000E+01	5.865486E-04	6.725715E-06
9.800000E+01	5.876683E-04	6.165872E-06
