# concentration (uM) 	 Tm (C)
1.000000E+00	3.488720E+01
2.000000E+00	3.762347E+01
5.000000E+00	4.124542E+01
1.000000E+01	4.402023E+01
2.000000E+01	4.680148E+01
5.000000E+01	5.055756E+01
1.000000E+02	5.346047E+01
2.000000E+02	5.644466E+01
5.000000E+02	6.053432E+01
6.000000E+02	6.137032E+01
8.000000E+02	6.271486E+01
1.000000E+03	6.377319E+01
1.500000E+03	6.573941E+01
