# concentration (uM) 	 Tm (C)
3.000000E+00	2.578378E+01
6.000000E+00	2.841871E+01
1.500000E+01	3.204162E+01
3.000000E+01	3.488763E+01
6.000000E+01	3.785428E+01
1.500000E+02	4.197185E+01
3.000000E+02	4.526235E+01
6.000000E+02	4.874966E+01
1.500000E+03	5.372904E+01
1.800000E+03	5.478398E+01
2.400000E+03	5.649604E+01
3.000000E+03	5.786791E+01
4.500000E+03	6.048758E+01
