# temperature	SE	SE+SE
0.000000E+00	8.789599E-07	2.249561E-03
2.000000E+00	1.092680E-06	2.249454E-03
4.000000E+00	1.357903E-06	2.249321E-03
6.000000E+00	1.687634E-06	2.249156E-03
8.000000E+00	2.098500E-06	2.248951E-03
1.000000E+01	2.611859E-06	2.248694E-03
1.200000E+01	3.255263E-06	2.248372E-03
1.400000E+01	4.064372E-06	2.247968E-03
1.600000E+01	5.085459E-06	2.247457E-03
1.800000E+01	6.378673E-06	2.246811E-03
2.000000E+01	8.022256E-06	2.245989E-03
2.200000E+01	1.011797E-05	2.244941E-03
2.400000E+01	1.279801E-05	2.243601E-03
2.600000E+01	1.623374E-05	2.241883E-03
2.800000E+01	2.064664E-05	2.239677E-03
3.000000E+01	2.632182E-05	2.236839E-03
3.200000E+01	3.362441E-05	2.233188E-03
3.400000E+01	4.301925E-05	2.228490E-03
3.600000E+01	5.509377E-05	2.222453E-03
3.800000E+01	7.058392E-05	2.214708E-03
4.000000E+01	9.040240E-05	2.204799E-03
4.200000E+01	1.156673E-04	2.192166E-03
4.400000E+01	1.477284E-04	2.176136E-03
4.600000E+01	1.881869E-04	2.155907E-03
4.800000E+01	2.389007E-04	2.130550E-03
5.000000E+01	3.019679E-04	2.099016E-03
5.200000E+01	3.796740E-04	2.060163E-03
5.400000E+01	4.743925E-04	2.012804E-03
5.600000E+01	5.884216E-04	1.955789E-03
5.800000E+01	7.237511E-04	1.888124E-03
6.000000E+01	8.817563E-04	1.809122E-03
6.200000E+01	1.062839E-03	1.718580E-03
6.400000E+01	1.266063E-03	1.616968E-03
6.600000E+01	1.488852E-03	1.505574E-03
6.800000E+01	1.726860E-03	1.386570E-03
7.000000E+01	1.974114E-03	1.262943E-03
7.200000E+01	2.223471E-03	1.138264E-03
7.400000E+01	2.467392E-03	1.016304E-03
7.600000E+01	2.698849E-03	9.005756E-04
7.800000E+01	2.912173E-03	7.939134E-04
8.000000E+01	3.103605E-03	6.981973E-04
8.200000E+01	3.271438E-03	6.142812E-04
8.400000E+01	3.415779E-03	5.421107E-04
8.600000E+01	3.538082E-03	4.809588E-04
8.800000E+01	3.640613E-03	4.296937E-04
9.000000E+01	3.725977E-03	3.870117E-04
9.200000E+01	3.796784E-03	3.516078E-04
9.400000E+01	3.855446E-03	3.222772E-04
9.600000E+01	3.904070E-03	2.979652E-04
9.800000E+01	3.944440E-03	2.777799E-04
