# temperature	SE	SE+SE
0.000000E+00	6.418784E-07	1.199679E-03
2.000000E+00	7.979449E-07	1.199601E-03
4.000000E+00	9.916170E-07	1.199504E-03
6.000000E+00	1.232388E-06	1.199384E-03
8.000000E+00	1.532395E-06	1.199234E-03
1.000000E+01	1.907228E-06	1.199046E-03
1.200000E+01	2.376991E-06	1.198812E-03
1.400000E+01	2.967702E-06	1.198516E-03
1.600000E+01	3.713119E-06	1.198143E-03
1.800000E+01	4.657104E-06	1.197671E-03
2.000000E+01	5.856697E-06	1.197072E-03
2.200000E+01	7.386050E-06	1.196307E-03
2.400000E+01	9.341429E-06	1.195329E-03
2.600000E+01	1.184754E-05	1.194076E-03
2.800000E+01	1.506538E-05	1.192467E-03
3.000000E+01	1.920193E-05	1.190399E-03
3.200000E+01	2.452181E-05	1.187739E-03
3.400000E+01	3.136114E-05	1.184319E-03
3.600000E+01	4.014338E-05	1.179928E-03
3.800000E+01	5.139695E-05	1.174302E-03
4.000000E+01	6.577365E-05	1.167113E-03
4.200000E+01	8.406627E-05	1.157967E-03
4.400000E+01	1.072227E-04	1.146389E-03
4.600000E+01	1.363527E-04	1.131824E-03
4.800000E+01	1.727206E-04	1.113640E-03
5.000000E+01	2.177175E-04	1.091141E-03
5.200000E+01	2.728029E-04	1.063599E-03
5.400000E+01	3.394051E-04	1.030297E-03
5.600000E+01	4.187739E-04	9.906130E-04
5.800000E+01	5.117820E-04	9.441090E-04
6.000000E+01	6.186855E-04	8.906572E-04
6.200000E+01	7.388720E-04	8.305640E-04
6.400000E+01	8.706491E-04	7.646755E-04
6.600000E+01	1.011146E-03	6.944272E-04
6.800000E+01	1.156407E-03	6.217967E-04
7.000000E+01	1.301728E-03	5.491361E-04
7.200000E+01	1.442213E-03	4.788935E-04
7.400000E+01	1.573437E-03	4.132816E-04
7.600000E+01	1.692035E-03	3.539825E-04
7.800000E+01	1.796046E-03	3.019769E-04
8.000000E+01	1.884930E-03	2.575348E-04
8.200000E+01	1.959315E-03	2.203426E-04
8.400000E+01	2.020599E-03	1.897006E-04
8.600000E+01	2.070559E-03	1.647204E-04
8.800000E+01	2.111043E-03	1.444787E-04
9.000000E+01	2.143770E-03	1.281151E-04
9.200000E+01	2.170241E-03	1.148795E-04
9.400000E+01	2.191707E-03	1.041466E-04
9.600000E+01	2.209180E-03	9.540977E-05
9.800000E+01	2.223469E-03	8.826571E-05
