# temperature	A	A+A	A+A+A	A+A+A+A	A+A+A+B	A+A+B	A+A+B+B	A+B	A+B+A+B	A+B+B	A+B+B+B	B	B+B	B+B+B	B+B+B+B
0.000000E+00	1.370272E-15	1.265098E-22	5.620551E-34	1.433024E-41	8.117953E-26	3.546952E-14	2.337996E-17	2.757093E-08	2.486214E-06	7.427928E-20	7.368608E-29	7.757341E-14	3.843828E-24	2.544764E-34	2.130279E-44
2.000000E+00	4.388043E-15	8.394687E-22	9.754095E-33	5.801297E-40	5.468198E-25	9.131061E-14	4.262417E-17	3.384009E-08	2.483080E-06	1.099091E-19	9.215514E-29	8.869356E-14	5.113009E-24	3.236730E-34	2.738602E-44
4.000000E+00	8.828256E-15	2.230248E-21	4.290097E-32	3.752081E-39	1.475740E-24	1.487178E-13	7.723340E-17	4.142969E-08	2.479285E-06	2.582573E-19	2.869964E-28	1.608075E-13	1.673497E-23	1.607083E-33	2.167859E-43
6.000000E+00	1.847821E-14	6.506589E-21	2.171908E-31	2.917775E-38	4.376251E-24	2.537818E-13	1.391404E-16	5.060227E-08	2.474699E-06	5.815480E-19	8.147274E-28	2.794863E-13	4.918999E-23	6.867428E-33	1.407778E-42
8.000000E+00	3.663441E-14	1.728030E-20	9.553314E-31	1.875833E-37	1.182297E-23	4.131163E-13	2.493337E-16	6.167333E-08	2.469163E-06	1.377458E-18	2.554228E-27	5.118221E-13	1.567858E-22	3.351657E-32	1.094089E-41
1.000000E+01	7.985180E-14	5.627623E-20	5.709288E-30	1.810230E-36	3.921125E-23	7.445098E-13	4.446202E-16	7.502389E-08	2.462487E-06	2.954946E-18	6.594330E-27	8.512306E-13	4.026509E-22	1.197135E-31	5.623836E-41
1.200000E+01	1.654485E-13	1.679395E-19	2.995978E-29	1.465322E-35	1.193644E-22	1.284022E-12	7.894069E-16	9.111725E-08	2.454440E-06	6.636909E-18	1.884085E-26	1.487206E-12	1.115910E-21	4.853523E-31	3.433616E-40
1.400000E+01	3.443081E-13	5.124342E-19	1.628195E-28	1.239708E-34	3.724333E-22	2.238482E-12	1.396247E-15	1.105211E-07	2.444737E-06	1.476502E-17	5.357791E-26	2.582711E-12	2.993252E-21	1.898662E-30	2.005360E-39
1.600000E+01	7.022832E-13	1.521212E-18	8.512345E-28	9.931911E-34	1.134333E-21	3.847560E-12	2.461746E-15	1.339375E-07	2.433027E-06	3.333146E-17	1.597566E-25	4.566549E-12	8.172812E-21	7.736065E-30	1.240472E-38
1.800000E+01	1.430600E-12	4.557159E-18	4.526926E-27	8.112466E-33	3.501778E-21	6.640009E-12	4.329479E-15	1.622424E-07	2.418871E-06	7.491562E-17	4.819758E-25	8.062591E-12	2.191326E-20	3.112876E-29	7.568054E-38
