# temperature	SE	SE+SE
0.000000E+00	4.752854E-06	1.197624E-03
2.000000E+00	6.222872E-06	1.196889E-03
4.000000E+00	8.114867E-06	1.195943E-03
6.000000E+00	1.053909E-05	1.194730E-03
8.000000E+00	1.363110E-05	1.193184E-03
1.000000E+01	1.755643E-05	1.191222E-03
1.200000E+01	2.251577E-05	1.188742E-03
1.400000E+01	2.875053E-05	1.185625E-03
1.600000E+01	3.654863E-05	1.181726E-03
1.800000E+01	4.625022E-05	1.176875E-03
2.000000E+01	5.825302E-05	1.170873E-03
2.200000E+01	7.301649E-05	1.163492E-03
2.400000E+01	9.106435E-05	1.154468E-03
2.600000E+01	1.129842E-04	1.143508E-03
2.800000E+01	1.394233E-04	1.130288E-03
3.000000E+01	1.710785E-04	1.114461E-03
3.200000E+01	2.086800E-04	1.095660E-03
3.400000E+01	2.529653E-04	1.073517E-03
3.600000E+01	3.046443E-04	1.047678E-03
3.800000E+01	3.643531E-04	1.017823E-03
4.000000E+01	4.325965E-04	9.837018E-04
4.200000E+01	5.096822E-04	9.451589E-04
4.400000E+01	5.956499E-04	9.021751E-04
4.600000E+01	6.902001E-04	8.548999E-04
4.800000E+01	7.926352E-04	8.036824E-04
5.000000E+01	9.018217E-04	7.490892E-04
5.200000E+01	1.016188E-03	6.919062E-04
5.400000E+01	1.133768E-03	6.331162E-04
5.600000E+01	1.252300E-03	5.738500E-04
5.800000E+01	1.369374E-03	5.153129E-04
6.000000E+01	1.482615E-03	4.586924E-04
6.200000E+01	1.589876E-03	4.050620E-04
6.400000E+01	1.689408E-03	3.552960E-04
6.600000E+01	1.779977E-03	3.100114E-04
6.800000E+01	1.860910E-03	2.695450E-04
7.000000E+01	1.932064E-03	2.339679E-04
7.200000E+01	1.993744E-03	2.031279E-04
7.400000E+01	2.046583E-03	1.767087E-04
7.600000E+01	2.091417E-03	1.542913E-04
7.800000E+01	2.129182E-03	1.354091E-04
8.000000E+01	2.160819E-03	1.195907E-04
8.200000E+01	2.187223E-03	1.063885E-04
8.400000E+01	2.209208E-03	9.539621E-05
8.600000E+01	2.227487E-03	8.625637E-05
8.800000E+01	2.242677E-03	7.866163E-05
9.000000E+01	2.255296E-03	7.235217E-05
9.200000E+01	2.265778E-03	6.711098E-05
9.400000E+01	2.274483E-03	6.275830E-05
9.600000E+01	2.281708E-03	5.914613E-05
9.800000E+01	2.287694E-03	5.615300E-05
