# concentration (uM) 	 Tm (C)
3.000000E+00	2.085083E+01
6.000000E+00	2.370894E+01
1.500000E+01	2.770331E+01
3.000000E+01	3.088610E+01
6.000000E+01	3.421813E+01
1.500000E+02	3.885666E+01
3.000000E+02	4.257515E+01
6.000000E+02	4.650074E+01
1.500000E+03	5.208050E+01
1.800000E+03	5.325387E+01
2.400000E+03	5.515764E+01
3.000000E+03	5.668181E+01
4.500000E+03	5.956890E+01
